county,date,confirmed_patients,suspected_patients,total_covid_patients
Del Norte,6/18/2020,0,0,0
San Bernardino,6/18/2020,253,60,313
Colusa,6/18/2020,0,0,0
Ventura,6/18/2020,40,37,77
San Francisco,6/18/2020,33,12,45
Butte,6/18/2020,4,0,4
Plumas,6/18/2020,0,0,0
Sacramento,6/18/2020,34,13,47
Stanislaus,6/18/2020,56,37,93
Orange,6/18/2020,335,87,422
Santa Barbara,6/18/2020,42,6,48
Alameda,6/18/2020,77,53,130
Sutter,6/18/2020,0,0,0
Mono,6/18/2020,0,0,0
Lassen,6/18/2020,0,0,0
Lake,6/18/2020,0,2,2
Mendocino,6/18/2020,0,0,0
Amador,6/18/2020,1,1,2
Yolo,6/18/2020,2,1,3
El Dorado,6/18/2020,0,3,3
Imperial,6/19/2020,80,0,80
Glenn,6/19/2020,0,0,0
Marin,6/19/2020,5,0,5
Placer,6/19/2020,11,11,22
Humboldt,6/19/2020,0,1,1
Tehama,6/19/2020,0,0,0
Colusa,6/19/2020,0,0,0
Solano,6/19/2020,17,7,24
Sonoma,6/19/2020,4,4,8
San Benito,6/19/2020,0,0,0
Tuolumne,6/19/2020,0,0,0
San Luis Obispo,6/19/2020,5,2,7
Napa,6/19/2020,3,8,11
Los Angeles,6/19/2020,1426,494,1920
Merced,6/19/2020,9,1,10
Sutter,6/19/2020,0,0,0
Mariposa,6/19/2020,0,0,0
San Bernardino,6/19/2020,261,57,318
Amador,6/19/2020,0,0,0
Kings,6/19/2020,49,1,50
Yuba,6/19/2020,4,0,4
El Dorado,6/19/2020,0,3,3
Fresno,6/19/2020,64,37,101
Riverside,6/19/2020,296,90,386
Sacramento,6/19/2020,37,17,54
Modoc,6/19/2020,0,0,0
Shasta,6/19/2020,1,0,1
Lassen,6/19/2020,0,0,0
Santa Cruz,6/19/2020,4,4,8
Mendocino,6/19/2020,1,3,4
Contra Costa,6/19/2020,30,11,41
Kern,6/19/2020,93,10,103
Nevada,6/19/2020,2,3,5
Siskiyou,6/19/2020,1,0,1
Butte,6/19/2020,4,1,5
Del Norte,6/19/2020,0,0,0
Orange,6/19/2020,344,66,410
San Mateo,6/19/2020,15,5,20
Plumas,6/19/2020,0,0,0
San Diego,6/19/2020,294,65,359
San Joaquin,6/19/2020,59,15,74
Yolo,6/19/2020,2,0,2
Ventura,6/19/2020,43,38,81
Monterey,6/19/2020,18,1,19
Lake,6/19/2020,0,0,0
Trinity,6/19/2020,0,4,4
Inyo,6/19/2020,0,0,0
San Francisco,6/19/2020,30,9,39
Calaveras,6/19/2020,0,1,1
Stanislaus,6/19/2020,59,34,93
Tulare,6/19/2020,48,2,50
Madera,6/19/2020,10,1,11
Alameda,6/19/2020,80,57,137
Mono,6/19/2020,0,0,0
Santa Barbara,6/19/2020,46,4,50
Santa Clara,6/19/2020,39,21,60
Inyo,6/20/2020,0,0,0
El Dorado,6/20/2020,0,2,2
Stanislaus,6/20/2020,67,30,97
Contra Costa,6/20/2020,34,17,51
Calaveras,6/20/2020,1,1,2
Orange,6/20/2020,363,83,446
Modoc,6/20/2020,0,0,0
Fresno,6/20/2020,71,44,115
San Benito,6/20/2020,0,0,0
San Diego,6/20/2020,280,50,330
Sonoma,6/20/2020,5,0,5
Riverside,6/20/2020,297,69,366
San Mateo,6/20/2020,15,6,21
Del Norte,6/20/2020,0,0,0
Mendocino,6/20/2020,0,0,0
Los Angeles,6/20/2020,1453,516,1969
Santa Barbara,6/20/2020,52,5,57
Napa,6/20/2020,2,8,10
Kern,6/20/2020,103,13,116
Shasta,6/20/2020,1,0,1
Lassen,6/20/2020,0,0,0
Trinity,6/20/2020,0,4,4
Tuolumne,6/20/2020,0,0,0
Humboldt,6/20/2020,0,1,1
Lake,6/20/2020,0,0,0
Glenn,6/20/2020,0,0,0
Sutter,6/20/2020,0,0,0
Colusa,6/20/2020,0,0,0
Alameda,6/20/2020,77,44,121
Tulare,6/20/2020,47,2,49
Merced,6/20/2020,9,1,10
Monterey,6/20/2020,19,0,19
Marin,6/20/2020,5,0,5
San Luis Obispo,6/20/2020,5,4,9
Mariposa,6/20/2020,0,0,0
Mono,6/20/2020,0,0,0
Imperial,6/20/2020,89,0,89
Yuba,6/20/2020,3,0,3
Amador,6/20/2020,0,0,0
Plumas,6/20/2020,0,0,0
Yolo,6/20/2020,3,0,3
Placer,6/20/2020,10,11,21
San Joaquin,6/20/2020,67,20,87
Santa Cruz,6/20/2020,4,3,7
Sacramento,6/20/2020,39,14,53
Butte,6/20/2020,3,0,3
Ventura,6/20/2020,47,26,73
San Bernardino,6/20/2020,252,78,330
Siskiyou,6/20/2020,1,0,1
San Francisco,6/20/2020,32,24,56
Santa Clara,6/20/2020,41,14,55
Madera,6/20/2020,8,2,10
Kings,6/20/2020,44,0,44
Solano,6/20/2020,22,10,32
Tehama,6/20/2020,0,0,0
Nevada,6/20/2020,3,3,6
Lake,6/21/2020,0,1,1
Fresno,6/21/2020,73,31,104
Alameda,6/21/2020,76,43,119
Kern,6/21/2020,108,17,125
Mariposa,6/21/2020,0,0,0
San Diego,6/21/2020,277,49,326
Imperial,6/21/2020,95,0,95
Orange,6/21/2020,361,85,446
Plumas,6/21/2020,0,0,0
Inyo,6/21/2020,0,0,0
San Joaquin,6/21/2020,81,21,102
Trinity,6/21/2020,0,3,3
San Mateo,6/21/2020,18,9,27
San Francisco,6/21/2020,37,7,44
Yuba,6/21/2020,3,0,3
Sonoma,6/21/2020,4,3,7
Humboldt,6/21/2020,0,1,1
Solano,6/21/2020,20,9,29
Santa Cruz,6/21/2020,5,4,9
Sacramento,6/21/2020,46,15,61
Los Angeles,6/21/2020,1515,486,2001
Glenn,6/21/2020,0,0,0
Lassen,6/21/2020,0,0,0
San Bernardino,6/21/2020,270,74,344
El Dorado,6/21/2020,0,2,2
Sutter,6/21/2020,0,0,0
Santa Barbara,6/21/2020,46,8,54
San Benito,6/21/2020,0,0,0
Napa,6/21/2020,5,3,8
Nevada,6/21/2020,3,4,7
Tuolumne,6/21/2020,0,0,0
Placer,6/21/2020,11,9,20
San Luis Obispo,6/21/2020,4,2,6
Amador,6/21/2020,0,1,1
Ventura,6/21/2020,51,37,88
Del Norte,6/21/2020,0,0,0
Santa Clara,6/21/2020,40,21,61
Tehama,6/21/2020,0,0,0
Riverside,6/21/2020,299,106,405
Monterey,6/21/2020,18,0,18
Marin,6/21/2020,9,2,11
Yolo,6/21/2020,3,1,4
Mono,6/21/2020,0,0,0
Colusa,6/21/2020,0,1,1
Contra Costa,6/21/2020,35,16,51
Mendocino,6/21/2020,0,0,0
Shasta,6/21/2020,2,1,3
Madera,6/21/2020,7,0,7
Merced,6/21/2020,9,3,12
Stanislaus,6/21/2020,70,21,91
Calaveras,6/21/2020,0,1,1
Tulare,6/21/2020,49,5,54
Siskiyou,6/21/2020,1,0,1
Kings,6/21/2020,45,0,45
Butte,6/21/2020,6,0,6
Modoc,6/21/2020,0,0,0
Kern,6/22/2020,115,14,129
San Joaquin,6/22/2020,91,50,141
Butte,6/22/2020,6,3,9
Siskiyou,6/22/2020,1,0,1
Nevada,6/22/2020,3,3,6
Inyo,6/22/2020,0,0,0
Del Norte,6/22/2020,0,0,0
Yolo,6/22/2020,1,0,1
Monterey,6/22/2020,20,1,21
Plumas,6/22/2020,0,0,0
Lassen,6/22/2020,0,0,0
Trinity,6/22/2020,0,2,2
Mono,6/22/2020,0,0,0
Mendocino,6/22/2020,0,0,0
San Diego,6/22/2020,286,60,346
Santa Cruz,6/22/2020,6,4,10
San Luis Obispo,6/22/2020,4,3,7
Contra Costa,6/22/2020,32,19,51
Glenn,6/22/2020,0,0,0
San Bernardino,6/22/2020,301,84,385
Sonoma,6/22/2020,6,1,7
San Benito,6/22/2020,0,0,0
Fresno,6/22/2020,83,39,122
Amador,6/22/2020,0,0,0
Napa,6/22/2020,5,5,10
Sacramento,6/22/2020,46,8,54
Tuolumne,6/22/2020,0,0,0
Solano,6/22/2020,19,7,26
Tehama,6/22/2020,0,0,0
Placer,6/22/2020,11,9,20
Imperial,6/22/2020,95,0,95
Santa Clara,6/22/2020,48,16,64
Tulare,6/22/2020,53,4,57
Alameda,6/22/2020,78,34,112
Yuba,6/22/2020,4,0,4
Madera,6/22/2020,6,1,7
Lake,6/22/2020,0,0,0
Humboldt,6/22/2020,0,1,1
Stanislaus,6/22/2020,73,19,92
Santa Barbara,6/22/2020,51,7,58
Calaveras,6/22/2020,0,0,0
Shasta,6/22/2020,2,0,2
Kings,6/22/2020,47,0,47
Los Angeles,6/22/2020,1556,534,2090
Sutter,6/22/2020,0,0,0
Orange,6/22/2020,376,90,466
Merced,6/22/2020,7,2,9
Modoc,6/22/2020,0,0,0
El Dorado,6/22/2020,1,0,1
Ventura,6/22/2020,49,56,105
Marin,6/22/2020,11,2,13
San Francisco,6/22/2020,40,7,47
San Mateo,6/22/2020,19,4,23
Riverside,6/22/2020,316,107,423
Mariposa,6/22/2020,0,0,0
Colusa,6/22/2020,0,1,1
Mono,6/23/2020,0,0,0
San Diego,6/23/2020,312,58,370
Ventura,6/23/2020,54,40,94
Madera,6/23/2020,7,0,7
Del Norte,6/23/2020,1,0,1
Fresno,6/23/2020,91,48,139
Glenn,6/23/2020,0,0,0
Tehama,6/23/2020,0,0,0
Alameda,6/23/2020,86,42,128
Siskiyou,6/23/2020,1,0,1
Sacramento,6/23/2020,50,15,65
Los Angeles,6/23/2020,1633,626,2259
Kings,6/23/2020,51,0,51
Mariposa,6/23/2020,0,0,0
San Luis Obispo,6/23/2020,5,2,7
Solano,6/23/2020,23,3,26
Marin,6/23/2020,12,2,14
Orange,6/23/2020,406,79,485
Placer,6/23/2020,10,3,13
Merced,6/23/2020,9,3,12
Modoc,6/23/2020,0,0,0
Plumas,6/23/2020,0,0,0
Amador,6/23/2020,0,0,0
Santa Cruz,6/23/2020,6,3,9
Lassen,6/23/2020,0,0,0
Monterey,6/23/2020,21,2,23
Tulare,6/23/2020,56,5,61
Contra Costa,6/23/2020,37,15,52
Santa Clara,6/23/2020,57,15,72
Butte,6/23/2020,7,0,7
Nevada,6/23/2020,3,2,5
El Dorado,6/23/2020,1,2,3
Tuolumne,6/23/2020,1,0,1
Sonoma,6/23/2020,9,5,14
San Francisco,6/23/2020,45,8,53
Colusa,6/23/2020,0,1,1
Santa Barbara,6/23/2020,53,8,61
Yolo,6/23/2020,1,0,1
Kern,6/23/2020,118,15,133
Inyo,6/23/2020,0,0,0
San Mateo,6/23/2020,22,5,27
Stanislaus,6/23/2020,82,16,98
Trinity,6/23/2020,0,1,1
Napa,6/23/2020,7,7,14
Imperial,6/23/2020,93,0,93
San Joaquin,6/23/2020,89,20,109
San Benito,6/23/2020,0,0,0
Yuba,6/23/2020,6,1,7
Calaveras,6/23/2020,0,1,1
Humboldt,6/23/2020,1,1,2
San Bernardino,6/23/2020,311,130,441
Riverside,6/23/2020,315,119,434
Mendocino,6/23/2020,0,0,0
Lake,6/23/2020,0,1,1
Sutter,6/23/2020,0,0,0
Shasta,6/23/2020,3,0,3
Del Norte,6/24/2020,1,0,1
Marin,6/24/2020,14,2,16
Mono,6/24/2020,0,0,0
Lake,6/24/2020,0,1,1
Amador,6/24/2020,0,0,0
Sutter,6/24/2020,0,0,0
Tehama,6/24/2020,0,0,0
San Francisco,6/24/2020,46,9,55
Merced,6/24/2020,14,3,17
Napa,6/24/2020,6,1,7
Colusa,6/24/2020,1,0,1
Kern,6/24/2020,118,14,132
San Joaquin,6/24/2020,89,33,122
Calaveras,6/24/2020,0,0,0
Humboldt,6/24/2020,1,2,3
Santa Clara,6/24/2020,65,13,78
Glenn,6/24/2020,0,0,0
Monterey,6/24/2020,21,4,25
Riverside,6/24/2020,312,125,437
Santa Barbara,6/24/2020,54,3,57
Trinity,6/24/2020,0,2,2
Kings,6/24/2020,54,0,54
Shasta,6/24/2020,3,0,3
Modoc,6/24/2020,0,0,0
Inyo,6/24/2020,0,1,1
Stanislaus,6/24/2020,85,17,102
Imperial,6/24/2020,82,0,82
Placer,6/24/2020,8,8,16
Fresno,6/24/2020,93,46,139
Yolo,6/24/2020,5,0,5
Sonoma,6/24/2020,7,1,8
San Benito,6/24/2020,0,0,0
Tulare,6/24/2020,56,3,59
Siskiyou,6/24/2020,1,0,1
San Bernardino,6/24/2020,331,101,432
El Dorado,6/24/2020,1,0,1
Sacramento,6/24/2020,61,16,77
San Luis Obispo,6/24/2020,6,5,11
Mariposa,6/24/2020,0,0,0
Santa Cruz,6/24/2020,6,3,9
Nevada,6/24/2020,3,0,3
Lassen,6/24/2020,0,0,0
Ventura,6/24/2020,52,34,86
Madera,6/24/2020,9,4,13
Alameda,6/24/2020,89,41,130
Yuba,6/24/2020,5,0,5
San Mateo,6/24/2020,24,5,29
San Diego,6/24/2020,333,50,383
Los Angeles,6/24/2020,1676,607,2283
Mendocino,6/24/2020,0,0,0
Orange,6/24/2020,437,106,543
Butte,6/24/2020,6,1,7
Plumas,6/24/2020,0,0,0
Tuolumne,6/24/2020,0,0,0
Solano,6/24/2020,26,2,28
Contra Costa,6/24/2020,39,19,58
Alameda,6/25/2020,91,49,140
Tehama,6/25/2020,0,0,0
Sutter,6/25/2020,0,0,0
Shasta,6/25/2020,4,1,5
Marin,6/25/2020,14,2,16
Imperial,6/25/2020,76,1,77
Tulare,6/25/2020,55,4,59
Lake,6/25/2020,0,2,2
Lassen,6/25/2020,0,0,0
Kern,6/25/2020,123,14,137
Ventura,6/25/2020,60,38,98
Glenn,6/25/2020,0,0,0
Santa Cruz,6/25/2020,6,7,13
Sonoma,6/25/2020,7,4,11
Madera,6/25/2020,9,4,13
Del Norte,6/25/2020,1,0,1
Kings,6/25/2020,57,0,57
Inyo,6/25/2020,0,0,0
San Diego,6/25/2020,368,57,425
Fresno,6/25/2020,103,44,147
Siskiyou,6/25/2020,1,0,1
El Dorado,6/25/2020,1,0,1
Tuolumne,6/25/2020,1,0,1
Amador,6/25/2020,0,0,0
Monterey,6/25/2020,17,7,24
Contra Costa,6/25/2020,42,18,60
Butte,6/25/2020,6,0,6
Placer,6/25/2020,8,8,16
Solano,6/25/2020,25,4,29
Napa,6/25/2020,5,0,5
Calaveras,6/25/2020,1,1,2
San Francisco,6/25/2020,44,10,54
Orange,6/25/2020,451,95,546
Modoc,6/25/2020,0,0,0
San Joaquin,6/25/2020,101,36,137
San Luis Obispo,6/25/2020,7,1,8
Sacramento,6/25/2020,73,24,97
Santa Clara,6/25/2020,68,14,82
Yolo,6/25/2020,6,0,6
Santa Barbara,6/25/2020,55,4,59
Plumas,6/25/2020,0,0,0
San Benito,6/25/2020,0,0,0
Yuba,6/25/2020,6,0,6
Nevada,6/25/2020,3,1,4
San Mateo,6/25/2020,22,5,27
Mendocino,6/25/2020,0,0,0
Mono,6/25/2020,0,0,0
Riverside,6/25/2020,319,141,460
Colusa,6/25/2020,1,0,1
San Bernardino,6/25/2020,338,98,436
Humboldt,6/25/2020,1,2,3
Los Angeles,6/25/2020,1698,539,2237
Merced,6/25/2020,13,1,14
Trinity,6/25/2020,0,2,2
Stanislaus,6/25/2020,93,21,114
Mariposa,6/25/2020,0,0,0
Riverside,6/26/2020,339,135,474
Solano,6/26/2020,28,5,33
Nevada,6/26/2020,1,5,6
Ventura,6/26/2020,62,38,100
Amador,6/26/2020,0,0,0
San Bernardino,6/26/2020,349,97,446
San Luis Obispo,6/26/2020,7,1,8
Sutter,6/26/2020,0,0,0
Siskiyou,6/26/2020,0,0,0
Tehama,6/26/2020,0,0,0
Yuba,6/26/2020,5,1,6
Calaveras,6/26/2020,1,1,2
Monterey,6/26/2020,17,2,19
Kings,6/26/2020,58,0,58
Glenn,6/26/2020,0,1,1
Sacramento,6/26/2020,73,10,83
Merced,6/26/2020,15,0,15
Alameda,6/26/2020,92,41,133
San Francisco,6/26/2020,54,14,68
Mariposa,6/26/2020,0,0,0
Butte,6/26/2020,6,0,6
Mendocino,6/26/2020,0,0,0
Santa Clara,6/26/2020,66,16,82
Shasta,6/26/2020,5,1,6
Modoc,6/26/2020,0,1,1
Plumas,6/26/2020,0,0,0
Del Norte,6/26/2020,1,0,1
Inyo,6/26/2020,0,0,0
San Diego,6/26/2020,362,65,427
Orange,6/26/2020,467,93,560
Marin,6/26/2020,13,8,21
Stanislaus,6/26/2020,101,21,122
Lassen,6/26/2020,0,0,0
Trinity,6/26/2020,0,1,1
El Dorado,6/26/2020,1,0,1
Mono,6/26/2020,0,0,0
Contra Costa,6/26/2020,42,23,65
San Benito,6/26/2020,0,0,0
Imperial,6/26/2020,71,3,74
Tulare,6/26/2020,58,8,66
Placer,6/26/2020,8,5,13
Colusa,6/26/2020,1,0,1
Humboldt,6/26/2020,2,3,5
Kern,6/26/2020,136,11,147
Fresno,6/26/2020,107,50,157
Madera,6/26/2020,11,2,13
San Mateo,6/26/2020,20,1,21
Yolo,6/26/2020,6,0,6
Santa Cruz,6/26/2020,8,6,14
Lake,6/26/2020,0,1,1
Tuolumne,6/26/2020,1,0,1
Sonoma,6/26/2020,8,4,12
Los Angeles,6/26/2020,1717,579,2296
Santa Barbara,6/26/2020,53,6,59
Napa,6/26/2020,6,1,7
San Joaquin,6/26/2020,116,36,152
Santa Clara,6/27/2020,77,18,95
Trinity,6/27/2020,0,1,1
San Luis Obispo,6/27/2020,8,3,11
San Benito,6/27/2020,0,0,0
Yuba,6/27/2020,6,0,6
Del Norte,6/27/2020,1,0,1
Humboldt,6/27/2020,1,3,4
Shasta,6/27/2020,5,0,5
Sacramento,6/27/2020,77,17,94
Tehama,6/27/2020,0,0,0
San Bernardino,6/27/2020,353,79,432
San Francisco,6/27/2020,56,16,72
Merced,6/27/2020,15,0,15
Mendocino,6/27/2020,0,0,0
San Joaquin,6/27/2020,126,28,154
San Mateo,6/27/2020,23,4,27
Mono,6/27/2020,0,0,0
Solano,6/27/2020,31,5,36
Ventura,6/27/2020,65,41,106
Monterey,6/27/2020,19,2,21
Contra Costa,6/27/2020,38,25,63
Butte,6/27/2020,5,0,5
Santa Barbara,6/27/2020,60,5,65
Imperial,6/27/2020,77,2,79
Riverside,6/27/2020,340,145,485
Lake,6/27/2020,0,3,3
Placer,6/27/2020,11,3,14
Plumas,6/27/2020,0,0,0
Orange,6/27/2020,492,103,595
Lassen,6/27/2020,0,0,0
Siskiyou,6/27/2020,0,0,0
Sutter,6/27/2020,0,0,0
Kings,6/27/2020,54,1,55
Tuolumne,6/27/2020,1,1,2
Madera,6/27/2020,12,10,22
El Dorado,6/27/2020,1,1,2
Fresno,6/27/2020,111,53,164
Calaveras,6/27/2020,1,0,1
Yolo,6/27/2020,5,1,6
Santa Cruz,6/27/2020,9,6,15
Glenn,6/27/2020,0,1,1
Modoc,6/27/2020,0,0,0
Napa,6/27/2020,7,1,8
Nevada,6/27/2020,1,3,4
Amador,6/27/2020,0,0,0
Sonoma,6/27/2020,10,3,13
Marin,6/27/2020,12,2,14
Mariposa,6/27/2020,0,0,0
Colusa,6/27/2020,1,1,2
Tulare,6/27/2020,54,7,61
Los Angeles,6/27/2020,1710,606,2316
Stanislaus,6/27/2020,98,31,129
Kern,6/27/2020,142,34,176
Alameda,6/27/2020,99,40,139
Inyo,6/27/2020,0,0,0
San Diego,6/27/2020,363,74,437
Lassen,6/28/2020,0,0,0
Riverside,6/28/2020,367,115,482
Los Angeles,6/28/2020,1783,682,2465
San Luis Obispo,6/28/2020,8,2,10
Alameda,6/28/2020,102,39,141
Calaveras,6/28/2020,1,1,2
Kings,6/28/2020,53,1,54
Yuba,6/28/2020,7,0,7
El Dorado,6/28/2020,1,3,4
San Mateo,6/28/2020,27,5,32
Orange,6/28/2020,485,110,595
Placer,6/28/2020,13,5,18
Siskiyou,6/28/2020,0,0,0
Modoc,6/28/2020,0,0,0
Marin,6/28/2020,15,4,19
Lake,6/28/2020,2,0,2
Kern,6/28/2020,146,9,155
Nevada,6/28/2020,1,3,4
Yolo,6/28/2020,3,1,4
Shasta,6/28/2020,8,2,10
Ventura,6/28/2020,66,32,98
Santa Cruz,6/28/2020,9,10,19
Napa,6/28/2020,7,3,10
Colusa,6/28/2020,0,0,0
Santa Clara,6/28/2020,83,22,105
Tulare,6/28/2020,66,5,71
Madera,6/28/2020,9,7,16
Inyo,6/28/2020,0,0,0
Fresno,6/28/2020,118,48,166
Mariposa,6/28/2020,0,0,0
San Francisco,6/28/2020,59,10,69
San Bernardino,6/28/2020,376,83,459
Amador,6/28/2020,0,0,0
Stanislaus,6/28/2020,108,28,136
Sonoma,6/28/2020,11,1,12
Sutter,6/28/2020,0,0,0
Mendocino,6/28/2020,0,0,0
Merced,6/28/2020,19,0,19
Tehama,6/28/2020,0,0,0
San Diego,6/28/2020,373,85,458
Del Norte,6/28/2020,1,1,2
Contra Costa,6/28/2020,32,18,50
San Benito,6/28/2020,0,0,0
Solano,6/28/2020,30,5,35
Plumas,6/28/2020,0,0,0
Santa Barbara,6/28/2020,66,3,69
Humboldt,6/28/2020,1,3,4
Imperial,6/28/2020,72,2,74
Butte,6/28/2020,5,0,5
Trinity,6/28/2020,0,4,4
Sacramento,6/28/2020,87,19,106
San Joaquin,6/28/2020,129,31,160
Glenn,6/28/2020,0,1,1
Mono,6/28/2020,0,0,0
Tuolumne,6/28/2020,1,0,1
Monterey,6/28/2020,26,0,26
Orange,6/29/2020,510,114,624
Santa Clara,6/29/2020,87,18,105
Colusa,6/29/2020,0,0,0
San Benito,6/29/2020,0,0,0
Solano,6/29/2020,39,5,44
Inyo,6/29/2020,0,0,0
Tuolumne,6/29/2020,1,0,1
Riverside,6/29/2020,405,102,507
El Dorado,6/29/2020,1,1,2
Butte,6/29/2020,6,1,7
Tulare,6/29/2020,74,6,80
Lake,6/29/2020,2,0,2
Los Angeles,6/29/2020,1889,622,2511
Madera,6/29/2020,9,6,15
Merced,6/29/2020,16,2,18
Marin,6/29/2020,25,4,29
Sacramento,6/29/2020,98,32,130
Santa Cruz,6/29/2020,10,6,16
Amador,6/29/2020,1,0,1
Calaveras,6/29/2020,1,1,2
Santa Barbara,6/29/2020,62,8,70
Monterey,6/29/2020,33,2,35
Ventura,6/29/2020,74,37,111
Siskiyou,6/29/2020,0,0,0
Nevada,6/29/2020,3,4,7
Fresno,6/29/2020,116,54,170
Glenn,6/29/2020,0,0,0
San Luis Obispo,6/29/2020,9,6,15
Imperial,6/29/2020,70,2,72
San Francisco,6/29/2020,63,16,79
Lassen,6/29/2020,0,0,0
Stanislaus,6/29/2020,113,29,142
Yolo,6/29/2020,3,1,4
Sonoma,6/29/2020,11,1,12
Del Norte,6/29/2020,1,0,1
Kern,6/29/2020,151,9,160
San Mateo,6/29/2020,33,8,41
Trinity,6/29/2020,0,5,5
Kings,6/29/2020,55,1,56
Tehama,6/29/2020,0,0,0
Sutter,6/29/2020,0,0,0
San Diego,6/29/2020,395,98,493
Mendocino,6/29/2020,0,0,0
Humboldt,6/29/2020,0,3,3
Yuba,6/29/2020,8,0,8
Mariposa,6/29/2020,0,0,0
Modoc,6/29/2020,0,0,0
Alameda,6/29/2020,111,35,146
Plumas,6/29/2020,0,0,0
Contra Costa,6/29/2020,37,24,61
Placer,6/29/2020,13,9,22
Napa,6/29/2020,7,3,10
Mono,6/29/2020,0,0,0
Shasta,6/29/2020,9,3,12
San Bernardino,6/29/2020,393,85,478
San Joaquin,6/29/2020,133,26,159
Santa Barbara,6/30/2020,64,6,70
Los Angeles,6/30/2020,1893,645,2538
Lassen,6/30/2020,0,0,0
Imperial,6/30/2020,72,2,74
Calaveras,6/30/2020,1,2,3
Mariposa,6/30/2020,0,0,0
Mono,6/30/2020,0,0,0
Tuolumne,6/30/2020,1,0,1
Colusa,6/30/2020,1,2,3
San Francisco,6/30/2020,68,12,80
El Dorado,6/30/2020,3,1,4
Madera,6/30/2020,8,2,10
Sonoma,6/30/2020,11,4,15
Del Norte,6/30/2020,1,0,1
San Luis Obispo,6/30/2020,9,3,12
Alameda,6/30/2020,116,41,157
Lake,6/30/2020,3,2,5
Siskiyou,6/30/2020,0,0,0
Modoc,6/30/2020,0,0,0
Yuba,6/30/2020,5,0,5
Shasta,6/30/2020,10,2,12
Inyo,6/30/2020,0,0,0
Riverside,6/30/2020,419,112,531
Orange,6/30/2020,542,120,662
Tehama,6/30/2020,0,0,0
Sacramento,6/30/2020,106,21,127
Mendocino,6/30/2020,0,0,0
Solano,6/30/2020,41,5,46
Kern,6/30/2020,163,12,175
Plumas,6/30/2020,0,0,0
Kings,6/30/2020,41,0,41
San Bernardino,6/30/2020,406,85,491
Nevada,6/30/2020,4,3,7
Sutter,6/30/2020,0,0,0
Monterey,6/30/2020,36,5,41
Fresno,6/30/2020,129,42,171
San Mateo,6/30/2020,40,7,47
Amador,6/30/2020,1,1,2
Placer,6/30/2020,13,11,24
San Joaquin,6/30/2020,140,56,196
Stanislaus,6/30/2020,118,52,170
Santa Cruz,6/30/2020,10,6,16
Tulare,6/30/2020,73,6,79
Contra Costa,6/30/2020,41,20,61
Merced,6/30/2020,15,1,16
Butte,6/30/2020,6,0,6
San Benito,6/30/2020,1,0,1
Napa,6/30/2020,7,2,9
Glenn,6/30/2020,0,0,0
San Diego,6/30/2020,391,62,453
Yolo,6/30/2020,4,1,5
Humboldt,6/30/2020,1,3,4
Trinity,6/30/2020,0,0,0
Santa Clara,6/30/2020,81,12,93
Ventura,6/30/2020,76,43,119
Marin,6/30/2020,25,4,29
Sacramento,7/1/2020,109,27,136
Imperial,7/1/2020,79,2,81
Madera,7/1/2020,15,7,22
Marin,7/1/2020,30,2,32
Alameda,7/1/2020,123,47,170
Siskiyou,7/1/2020,0,0,0
Riverside,7/1/2020,431,116,547
Placer,7/1/2020,13,20,33
San Diego,7/1/2020,398,64,462
Tulare,7/1/2020,78,5,83
Contra Costa,7/1/2020,50,21,71
San Joaquin,7/1/2020,128,35,163
Merced,7/1/2020,17,9,26
Santa Barbara,7/1/2020,62,4,66
Santa Cruz,7/1/2020,10,0,10
Glenn,7/1/2020,0,0,0
San Bernardino,7/1/2020,428,88,516
Calaveras,7/1/2020,2,0,2
Tuolumne,7/1/2020,3,0,3
Napa,7/1/2020,7,1,8
Lassen,7/1/2020,0,0,0
Humboldt,7/1/2020,1,3,4
Kern,7/1/2020,164,14,178
Orange,7/1/2020,556,149,705
Amador,7/1/2020,1,1,2
Mendocino,7/1/2020,0,0,0
Mariposa,7/1/2020,0,0,0
Los Angeles,7/1/2020,1937,643,2580
Stanislaus,7/1/2020,121,61,182
Solano,7/1/2020,48,9,57
Del Norte,7/1/2020,1,0,1
Yolo,7/1/2020,4,1,5
Fresno,7/1/2020,125,24,149
Kings,7/1/2020,40,1,41
Ventura,7/1/2020,79,38,117
Inyo,7/1/2020,0,0,0
Tehama,7/1/2020,0,0,0
Plumas,7/1/2020,0,0,0
Santa Clara,7/1/2020,82,18,100
San Mateo,7/1/2020,45,10,55
San Francisco,7/1/2020,71,14,85
Monterey,7/1/2020,41,2,43
El Dorado,7/1/2020,5,1,6
Sutter,7/1/2020,0,0,0
Mono,7/1/2020,0,0,0
Modoc,7/1/2020,0,2,2
Lake,7/1/2020,3,0,3
Shasta,7/1/2020,7,1,8
Sonoma,7/1/2020,13,4,17
San Benito,7/1/2020,1,0,1
San Luis Obispo,7/1/2020,8,6,14
Nevada,7/1/2020,4,2,6
Trinity,7/1/2020,0,0,0
Butte,7/1/2020,7,2,9
Yuba,7/1/2020,8,1,9
Colusa,7/1/2020,0,2,2
San Francisco,7/2/2020,66,16,82
Lassen,7/2/2020,1,0,1
Placer,7/2/2020,17,22,39
El Dorado,7/2/2020,3,2,5
Tehama,7/2/2020,0,0,0
San Benito,7/2/2020,1,0,1
Mariposa,7/2/2020,0,0,0
Trinity,7/2/2020,0,0,0
Tuolumne,7/2/2020,4,0,4
