county,date,all_hospital_beds,icu_available_beds
Mariposa,4/2/2020,0,0
Tehama,4/2/2020,0,4
Trinity,4/2/2020,0,0
Lassen,4/2/2020,0,0
Napa,4/2/2020,0,12
Los Angeles,4/2/2020,0,488
Humboldt,4/2/2020,0,8
Santa Clara,4/2/2020,0,95
San Mateo,4/2/2020,0,26
Siskiyou,4/2/2020,0,4
Glenn,4/2/2020,0,0
Sacramento,4/2/2020,0,80
Mono,4/2/2020,0,2
Del Norte,4/2/2020,0,2
Madera,4/2/2020,0,6
Tuolumne,4/2/2020,0,2
San Francisco,4/2/2020,0,58
El Dorado,4/2/2020,0,10
Calaveras,4/2/2020,0,5
Tulare,4/2/2020,0,3
Plumas,4/2/2020,0,0
Alameda,4/2/2020,0,112
San Luis Obispo,4/2/2020,0,966
Lake,4/2/2020,0,2
Contra Costa,4/2/2020,0,73
Modoc,4/2/2020,0,0
Yolo,4/2/2020,0,0
Monterey,4/2/2020,0,12
Ventura,4/2/2020,0,15
Butte,4/2/2020,0,12
Imperial,4/2/2020,0,6
Sonoma,4/2/2020,0,10
Santa Cruz,4/2/2020,0,7
Inyo,4/2/2020,0,3
Amador,4/2/2020,0,2
Yuba,4/2/2020,0,4
San Diego,4/2/2020,0,206
Orange,4/2/2020,0,96
San Benito,4/2/2020,0,0
Shasta,4/2/2020,0,10
San Bernardino,4/2/2020,0,37
Merced,4/2/2020,0,3
Kings,4/2/2020,0,7
Sutter,4/2/2020,0,0
Kern,4/2/2020,0,36
Stanislaus,4/2/2020,0,22
Colusa,4/2/2020,0,5
Nevada,4/2/2020,0,6
Mendocino,4/2/2020,0,8
San Joaquin,4/2/2020,0,17
Tulare,4/3/2020,0,3
Plumas,4/3/2020,0,0
Kings,4/3/2020,0,3
Tuolumne,4/3/2020,0,1
Mendocino,4/3/2020,0,6
Santa Clara,4/3/2020,0,97
Contra Costa,4/3/2020,0,75
Madera,4/3/2020,0,7
Humboldt,4/3/2020,0,10
San Mateo,4/3/2020,0,38
Stanislaus,4/3/2020,0,22
Orange,4/3/2020,0,151
Ventura,4/3/2020,0,56
Fresno,4/3/2020,0,35
Mariposa,4/3/2020,0,0
Napa,4/3/2020,0,9
San Bernardino,4/3/2020,0,57
Yuba,4/3/2020,0,5
Tehama,4/3/2020,0,8
Los Angeles,4/3/2020,0,473
Butte,4/3/2020,0,9
Inyo,4/3/2020,0,1
Kern,4/3/2020,0,47
Glenn,4/3/2020,0,0
Solano,4/3/2020,0,23
Sacramento,4/3/2020,0,76
Santa Cruz,4/3/2020,0,2
Alameda,4/3/2020,0,117
Placer,4/3/2020,0,7
Lassen,4/3/2020,0,0
Imperial,4/3/2020,0,5
Del Norte,4/3/2020,0,2
Merced,4/3/2020,0,4
Trinity,4/3/2020,0,0
Riverside,4/3/2020,0,127
Colusa,4/3/2020,0,5
San Joaquin,4/3/2020,0,22
San Francisco,4/3/2020,0,74
Sonoma,4/3/2020,0,15
El Dorado,4/3/2020,0,14
Monterey,4/3/2020,0,17
Modoc,4/3/2020,0,0
Amador,4/3/2020,0,1
Santa Barbara,4/3/2020,0,50
Shasta,4/3/2020,0,14
Calaveras,4/3/2020,0,5
San Luis Obispo,4/3/2020,0,967
Yolo,4/3/2020,0,4
Lake,4/3/2020,0,2
Sutter,4/3/2020,0,0
San Diego,4/3/2020,0,216
Siskiyou,4/3/2020,0,4
Nevada,4/3/2020,0,5
Mono,4/3/2020,0,2
Marin,4/3/2020,0,17
San Benito,4/3/2020,0,0
Mariposa,4/4/2020,0,0
San Luis Obispo,4/4/2020,0,954
Napa,4/4/2020,0,6
Yuba,4/4/2020,0,7
Yolo,4/4/2020,0,4
Tehama,4/4/2020,0,8
Riverside,4/4/2020,0,125
Madera,4/4/2020,0,8
Calaveras,4/4/2020,0,5
Sutter,4/4/2020,0,0
Alameda,4/4/2020,0,120
San Benito,4/4/2020,0,0
Nevada,4/4/2020,0,5
Siskiyou,4/4/2020,0,5
Monterey,4/4/2020,0,18
Santa Clara,4/4/2020,0,91
Marin,4/4/2020,0,12
Amador,4/4/2020,0,2
Contra Costa,4/4/2020,0,87
Ventura,4/4/2020,0,10
Sonoma,4/4/2020,0,15
Mono,4/4/2020,0,2
Solano,4/4/2020,0,23
Mendocino,4/4/2020,0,7
Tuolumne,4/4/2020,0,2
Modoc,4/4/2020,0,0
San Joaquin,4/4/2020,0,24
Santa Cruz,4/4/2020,0,7
Lassen,4/4/2020,0,0
Butte,4/4/2020,0,7
Del Norte,4/4/2020,0,1
Sacramento,4/4/2020,0,82
San Mateo,4/4/2020,0,40
Santa Barbara,4/4/2020,0,53
Plumas,4/4/2020,0,0
Kings,4/4/2020,0,0
Trinity,4/4/2020,0,0
Stanislaus,4/4/2020,0,26
Colusa,4/4/2020,0,5
Imperial,4/4/2020,0,5
Inyo,4/4/2020,0,2
Merced,4/4/2020,0,6
San Diego,4/4/2020,0,222
El Dorado,4/4/2020,0,12
Tulare,4/4/2020,0,6
San Bernardino,4/4/2020,0,67
Orange,4/4/2020,0,153
Glenn,4/4/2020,0,0
Lake,4/4/2020,0,4
Placer,4/4/2020,0,12
Humboldt,4/4/2020,0,7
Fresno,4/4/2020,0,36
Shasta,4/4/2020,0,13
Kern,4/4/2020,0,29
San Francisco,4/4/2020,0,79
Los Angeles,4/4/2020,0,537
Mono,4/5/2020,0,2
Tuolumne,4/5/2020,0,4
Sonoma,4/5/2020,0,16
San Mateo,4/5/2020,0,36
Solano,4/5/2020,0,3
Lassen,4/5/2020,0,0
Tulare,4/5/2020,0,3
Mendocino,4/5/2020,0,4
Riverside,4/5/2020,0,130
Alameda,4/5/2020,0,113
San Francisco,4/5/2020,0,74
Calaveras,4/5/2020,0,6
Kings,4/5/2020,0,0
Mariposa,4/5/2020,0,0
Nevada,4/5/2020,0,3
San Luis Obispo,4/5/2020,0,28
Inyo,4/5/2020,0,3
Yolo,4/5/2020,0,4
San Diego,4/5/2020,0,247
Contra Costa,4/5/2020,0,74
Glenn,4/5/2020,0,0
Orange,4/5/2020,0,156
Los Angeles,4/5/2020,0,554
Marin,4/5/2020,0,13
Madera,4/5/2020,0,8
Butte,4/5/2020,0,10
Santa Cruz,4/5/2020,0,10
El Dorado,4/5/2020,0,7
Sutter,4/5/2020,0,0
Napa,4/5/2020,0,11
Imperial,4/5/2020,0,3
Plumas,4/5/2020,0,0
Siskiyou,4/5/2020,0,3
Modoc,4/5/2020,0,0
Monterey,4/5/2020,0,23
Del Norte,4/5/2020,0,1
San Bernardino,4/5/2020,0,70
Fresno,4/5/2020,0,39
Shasta,4/5/2020,0,13
Trinity,4/5/2020,0,0
Merced,4/5/2020,0,8
Lake,4/5/2020,0,3
San Joaquin,4/5/2020,0,19
Stanislaus,4/5/2020,0,30
Placer,4/5/2020,0,10
Amador,4/5/2020,0,2
Ventura,4/5/2020,0,12
Kern,4/5/2020,0,40
Tehama,4/5/2020,0,5
Sacramento,4/5/2020,0,82
Santa Clara,4/5/2020,0,90
Humboldt,4/5/2020,0,8
San Benito,4/5/2020,0,0
Santa Barbara,4/5/2020,0,59
Colusa,4/5/2020,0,5
Yuba,4/5/2020,0,10
Inyo,4/6/2020,0,3
San Joaquin,4/6/2020,0,20
Alameda,4/6/2020,0,92
Yuba,4/6/2020,0,7
Yolo,4/6/2020,0,-3
Colusa,4/6/2020,0,6
Modoc,4/6/2020,0,0
San Mateo,4/6/2020,0,36
Fresno,4/6/2020,0,45
Plumas,4/6/2020,0,0
San Benito,4/6/2020,0,0
Santa Barbara,4/6/2020,0,54
Solano,4/6/2020,0,28
Riverside,4/6/2020,0,152
San Luis Obispo,4/6/2020,0,42
Tulare,4/6/2020,0,16
Del Norte,4/6/2020,0,0
Tuolumne,4/6/2020,0,0
Merced,4/6/2020,0,4
Stanislaus,4/6/2020,0,37
Los Angeles,4/6/2020,0,587
Ventura,4/6/2020,0,32
Calaveras,4/6/2020,0,6
Kings,4/6/2020,0,3
Sutter,4/6/2020,0,0
Santa Cruz,4/6/2020,0,5
Shasta,4/6/2020,0,28
Sonoma,4/6/2020,0,20
Imperial,4/6/2020,0,3
Monterey,4/6/2020,0,18
Amador,4/6/2020,0,2
Lake,4/6/2020,0,1
Napa,4/6/2020,0,15
Sacramento,4/6/2020,0,75
Butte,4/6/2020,0,9
San Francisco,4/6/2020,0,71
Siskiyou,4/6/2020,0,5
Mendocino,4/6/2020,0,10
Lassen,4/6/2020,0,0
Mono,4/6/2020,0,2
Contra Costa,4/6/2020,0,78
San Bernardino,4/6/2020,0,102
Humboldt,4/6/2020,0,2
Santa Clara,4/6/2020,0,100
Placer,4/6/2020,0,24
Madera,4/6/2020,0,8
Trinity,4/6/2020,0,0
Tehama,4/6/2020,0,4
El Dorado,4/6/2020,0,10
Kern,4/6/2020,0,39
San Diego,4/6/2020,0,270
Mariposa,4/6/2020,0,0
Marin,4/6/2020,0,13
Glenn,4/6/2020,0,0
Orange,4/6/2020,0,134
Nevada,4/6/2020,0,4
San Luis Obispo,4/7/2020,0,30
Sacramento,4/7/2020,0,72
Santa Clara,4/7/2020,0,105
Mono,4/7/2020,0,2
Imperial,4/7/2020,0,3
Ventura,4/7/2020,0,31
Calaveras,4/7/2020,0,8
Madera,4/7/2020,0,7
Inyo,4/7/2020,0,3
Trinity,4/7/2020,0,0
Colusa,4/7/2020,0,6
Plumas,4/7/2020,0,0
Sutter,4/7/2020,0,0
Merced,4/7/2020,0,3
Napa,4/7/2020,0,7
Kern,4/7/2020,0,50
Tulare,4/7/2020,0,10
Riverside,4/7/2020,0,129
Glenn,4/7/2020,0,0
San Mateo,4/7/2020,0,35
Sonoma,4/7/2020,0,21
Marin,4/7/2020,0,12
Nevada,4/7/2020,0,3
Santa Barbara,4/7/2020,0,48
El Dorado,4/7/2020,0,10
San Diego,4/7/2020,0,189
Orange,4/7/2020,0,136
Mariposa,4/7/2020,0,0
Tuolumne,4/7/2020,0,0
Tehama,4/7/2020,0,2
Placer,4/7/2020,0,20
Alameda,4/7/2020,0,90
Shasta,4/7/2020,0,6
Monterey,4/7/2020,0,21
Lassen,4/7/2020,0,0
Mendocino,4/7/2020,0,9
Lake,4/7/2020,0,1
Fresno,4/7/2020,0,50
San Bernardino,4/7/2020,0,126
Del Norte,4/7/2020,0,2
Yolo,4/7/2020,0,4
San Benito,4/7/2020,0,0
Siskiyou,4/7/2020,0,5
Santa Cruz,4/7/2020,0,4
Butte,4/7/2020,0,6
Humboldt,4/7/2020,0,7
San Francisco,4/7/2020,0,57
Kings,4/7/2020,0,3
Contra Costa,4/7/2020,0,82
Modoc,4/7/2020,0,0
San Joaquin,4/7/2020,0,20
Solano,4/7/2020,0,31
Amador,4/7/2020,0,3
Los Angeles,4/7/2020,0,603
Yuba,4/7/2020,0,6
Stanislaus,4/7/2020,0,32
San Benito,4/8/2020,0,1
San Diego,4/8/2020,0,183
Santa Cruz,4/8/2020,0,8
Calaveras,4/8/2020,0,8
Merced,4/8/2020,0,5
Los Angeles,4/8/2020,0,582
Santa Clara,4/8/2020,0,104
Imperial,4/8/2020,0,3
Yolo,4/8/2020,0,6
Sutter,4/8/2020,0,0
Sonoma,4/8/2020,0,18
Marin,4/8/2020,0,17
San Joaquin,4/8/2020,0,18
Colusa,4/8/2020,0,6
Mariposa,4/8/2020,0,0
Sacramento,4/8/2020,0,73
Modoc,4/8/2020,0,0
Nevada,4/8/2020,0,6
Madera,4/8/2020,0,7
Monterey,4/8/2020,0,24
Stanislaus,4/8/2020,0,58
Contra Costa,4/8/2020,0,78
Tehama,4/8/2020,0,4
Santa Barbara,4/8/2020,0,51
San Mateo,4/8/2020,0,32
San Luis Obispo,4/8/2020,0,22
Tuolumne,4/8/2020,0,1
Kings,4/8/2020,0,1
Fresno,4/8/2020,0,64
Ventura,4/8/2020,0,31
Alameda,4/8/2020,0,111
Placer,4/8/2020,0,19
Shasta,4/8/2020,0,10
Inyo,4/8/2020,0,2
Trinity,4/8/2020,0,0
Yuba,4/8/2020,0,5
Amador,4/8/2020,0,1
Napa,4/8/2020,0,5
Orange,4/8/2020,0,201
Lassen,4/8/2020,0,0
San Bernardino,4/8/2020,0,144
Butte,4/8/2020,0,4
El Dorado,4/8/2020,0,10
Riverside,4/8/2020,0,154
Lake,4/8/2020,0,1
Humboldt,4/8/2020,0,6
Kern,4/8/2020,0,32
Mono,4/8/2020,0,2
Del Norte,4/8/2020,0,4
Plumas,4/8/2020,0,0
Mendocino,4/8/2020,0,7
Solano,4/8/2020,0,27
Tulare,4/8/2020,0,22
San Francisco,4/8/2020,0,55
Siskiyou,4/8/2020,0,5
Glenn,4/8/2020,0,0
Monterey,4/9/2020,0,22
Nevada,4/9/2020,0,4
Humboldt,4/9/2020,0,6
Solano,4/9/2020,0,33
Los Angeles,4/9/2020,0,569
Trinity,4/9/2020,0,0
Mariposa,4/9/2020,0,0
Colusa,4/9/2020,0,5
Kern,4/9/2020,0,25
Yolo,4/9/2020,0,11
Contra Costa,4/9/2020,0,73
Tuolumne,4/9/2020,0,5
Sonoma,4/9/2020,0,24
Sutter,4/9/2020,0,0
San Luis Obispo,4/9/2020,0,21
Napa,4/9/2020,0,10
Plumas,4/9/2020,0,0
Butte,4/9/2020,0,5
Mono,4/9/2020,0,2
Shasta,4/9/2020,0,5
Mendocino,4/9/2020,0,8
Fresno,4/9/2020,0,59
San Mateo,4/9/2020,0,39
Orange,4/9/2020,0,206
San Diego,4/9/2020,0,163
Santa Cruz,4/9/2020,0,7
Riverside,4/9/2020,0,133
San Joaquin,4/9/2020,0,16
Madera,4/9/2020,0,5
San Benito,4/9/2020,0,1
Modoc,4/9/2020,0,0
Glenn,4/9/2020,0,0
Stanislaus,4/9/2020,0,45
Imperial,4/9/2020,0,1
Merced,4/9/2020,0,5
Ventura,4/9/2020,0,29
Santa Clara,4/9/2020,0,87
San Bernardino,4/9/2020,0,143
Yuba,4/9/2020,0,6
Del Norte,4/9/2020,0,5
Marin,4/9/2020,0,21
Lake,4/9/2020,0,2
Tulare,4/9/2020,0,19
Kings,4/9/2020,0,2
Sacramento,4/9/2020,0,63
Lassen,4/9/2020,0,0
El Dorado,4/9/2020,0,10
Placer,4/9/2020,0,16
Amador,4/9/2020,0,3
Tehama,4/9/2020,0,5
Santa Barbara,4/9/2020,0,45
San Francisco,4/9/2020,0,45
Inyo,4/9/2020,0,3
Alameda,4/9/2020,0,107
Calaveras,4/9/2020,0,11
Siskiyou,4/9/2020,0,5
Solano,4/10/2020,0,31
Sutter,4/10/2020,0,0
Modoc,4/10/2020,0,0
Plumas,4/10/2020,0,0
Colusa,4/10/2020,0,6
Imperial,4/10/2020,0,1
San Joaquin,4/10/2020,0,20
Los Angeles,4/10/2020,0,663
Del Norte,4/10/2020,0,4
Sonoma,4/10/2020,0,32
San Luis Obispo,4/10/2020,0,24
Mendocino,4/10/2020,0,5
Lake,4/10/2020,0,2
Orange,4/10/2020,0,187
Humboldt,4/10/2020,0,0
Santa Cruz,4/10/2020,0,4
Santa Clara,4/10/2020,0,99
Yolo,4/10/2020,0,7
Fresno,4/10/2020,0,57
Contra Costa,4/10/2020,0,75
Monterey,4/10/2020,0,25
Trinity,4/10/2020,0,0
Calaveras,4/10/2020,0,11
El Dorado,4/10/2020,0,10
Marin,4/10/2020,0,17
Nevada,4/10/2020,0,6
San Mateo,4/10/2020,0,41
Kern,4/10/2020,0,45
Yuba,4/10/2020,0,7
Napa,4/10/2020,0,7
Tulare,4/10/2020,0,16
Alameda,4/10/2020,0,128
Mono,4/10/2020,0,2
Riverside,4/10/2020,0,140
Siskiyou,4/10/2020,0,4
Kings,4/10/2020,0,1
Tehama,4/10/2020,0,8
San Benito,4/10/2020,0,1
Inyo,4/10/2020,0,3
San Bernardino,4/10/2020,0,134
Ventura,4/10/2020,0,30
Merced,4/10/2020,0,4
Shasta,4/10/2020,0,12
Amador,4/10/2020,0,4
Tuolumne,4/10/2020,0,0
Lassen,4/10/2020,0,0
Butte,4/10/2020,0,5
Stanislaus,4/10/2020,0,44
Glenn,4/10/2020,0,0
Madera,4/10/2020,0,6
Placer,4/10/2020,0,9
San Francisco,4/10/2020,0,125
Mariposa,4/10/2020,0,0
Sacramento,4/10/2020,0,69
Santa Barbara,4/10/2020,0,43
San Diego,4/10/2020,0,153
Merced,4/11/2020,0,3
Mono,4/11/2020,0,2
Modoc,4/11/2020,0,0
Placer,4/11/2020,0,13
Tehama,4/11/2020,0,7
Mariposa,4/11/2020,0,0
Sonoma,4/11/2020,0,30
Siskiyou,4/11/2020,0,4
Amador,4/11/2020,0,4
Shasta,4/11/2020,0,12
Alameda,4/11/2020,0,121
San Bernardino,4/11/2020,0,117
Calaveras,4/11/2020,0,11
Plumas,4/11/2020,0,0
Sacramento,4/11/2020,0,80
Glenn,4/11/2020,0,0
Nevada,4/11/2020,0,5
Colusa,4/11/2020,0,6
Stanislaus,4/11/2020,0,44
Kings,4/11/2020,0,1
Tulare,4/11/2020,0,19
Santa Clara,4/11/2020,0,106
San Mateo,4/11/2020,0,42
Imperial,4/11/2020,0,1
Del Norte,4/11/2020,0,5
Yolo,4/11/2020,0,7
Trinity,4/11/2020,0,0
Butte,4/11/2020,0,5
Marin,4/11/2020,0,14
Napa,4/11/2020,0,5
Yuba,4/11/2020,0,9
Fresno,4/11/2020,0,52
San Benito,4/11/2020,0,2
Humboldt,4/11/2020,0,3
Solano,4/11/2020,0,32
Los Angeles,4/11/2020,0,595
Inyo,4/11/2020,0,3
San Luis Obispo,4/11/2020,0,23
Riverside,4/11/2020,0,149
Sutter,4/11/2020,0,0
Kern,4/11/2020,0,41
Madera,4/11/2020,0,5
Monterey,4/11/2020,0,24
Lassen,4/11/2020,0,0
Tuolumne,4/11/2020,0,3
Santa Barbara,4/11/2020,0,53
San Francisco,4/11/2020,0,132
San Diego,4/11/2020,0,140
Lake,4/11/2020,0,0
Mendocino,4/11/2020,0,9
San Joaquin,4/11/2020,0,28
El Dorado,4/11/2020,0,9
Orange,4/11/2020,0,219
Contra Costa,4/11/2020,0,75
Ventura,4/11/2020,0,33
Santa Cruz,4/11/2020,0,6
Orange,4/12/2020,0,190
Marin,4/12/2020,0,13
Riverside,4/12/2020,0,146
Sutter,4/12/2020,0,0
Tehama,4/12/2020,0,6
Butte,4/12/2020,0,15
Santa Cruz,4/12/2020,0,4
Sonoma,4/12/2020,0,25
Placer,4/12/2020,0,6
Yuba,4/12/2020,0,6
Del Norte,4/12/2020,0,6
Yolo,4/12/2020,0,3
Glenn,4/12/2020,0,0
Mariposa,4/12/2020,0,0
Napa,4/12/2020,0,6
Kings,4/12/2020,0,3
Lassen,4/12/2020,0,0
Siskiyou,4/12/2020,0,6
San Benito,4/12/2020,0,2
Inyo,4/12/2020,0,4
Colusa,4/12/2020,0,6
El Dorado,4/12/2020,0,11
Plumas,4/12/2020,0,0
Alameda,4/12/2020,0,52
Kern,4/12/2020,0,41
Madera,4/12/2020,0,5
San Diego,4/12/2020,0,170
Sacramento,4/12/2020,0,68
Fresno,4/12/2020,0,54
Mendocino,4/12/2020,0,6
San Joaquin,4/12/2020,0,23
Lake,4/12/2020,0,0
Nevada,4/12/2020,0,4
Tulare,4/12/2020,0,22
Merced,4/12/2020,0,2
Los Angeles,4/12/2020,0,564
Ventura,4/12/2020,0,36
Stanislaus,4/12/2020,0,7
San Bernardino,4/12/2020,0,108
Santa Clara,4/12/2020,0,102
San Francisco,4/12/2020,0,71
San Luis Obispo,4/12/2020,0,24
Shasta,4/12/2020,0,15
Santa Barbara,4/12/2020,0,53
Contra Costa,4/12/2020,0,64
Monterey,4/12/2020,0,26
San Mateo,4/12/2020,0,23
Tuolumne,4/12/2020,0,5
Amador,4/12/2020,0,3
Calaveras,4/12/2020,0,9
Humboldt,4/12/2020,0,3
Imperial,4/12/2020,0,2
Solano,4/12/2020,0,30
Trinity,4/12/2020,0,0
Modoc,4/12/2020,0,0
Mono,4/12/2020,0,2
Riverside,4/13/2020,0,132
San Diego,4/13/2020,0,171
Santa Clara,4/13/2020,0,87
Fresno,4/13/2020,0,60
Tehama,4/13/2020,0,6
El Dorado,4/13/2020,0,12
Sonoma,4/13/2020,0,31
Tulare,4/13/2020,0,18
Inyo,4/13/2020,0,3
Santa Barbara,4/13/2020,0,59
Calaveras,4/13/2020,0,10
Contra Costa,4/13/2020,0,69
Kings,4/13/2020,0,0
