county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Joaquin,5/19/2020,7,26,33,1366,2,10,27
Shasta,5/19/2020,0,0,0,667,0,0,4
Riverside,5/19/2020,189,103,292,3999,69,31,191
Sonoma,5/19/2020,4,24,28,871,2,2,54
Lake,5/19/2020,0,1,1,110,0,1,1
El Dorado,5/19/2020,0,2,2,199,0,2,10
Calaveras,5/19/2020,0,0,0,50,0,0,11
Imperial,5/19/2020,74,4,78,200,19,0,10
Mariposa,5/19/2020,0,3,3,30,0,0,
Mono,5/19/2020,0,0,0,17,0,0,2
Yuba,5/19/2020,1,0,1,445,0,0,10
Los Angeles,5/19/2020,1517,619,2136,23675,466,94,1216
Orange,5/19/2020,269,97,366,7007,116,19,352
Marin,5/19/2020,4,20,24,390,0,2,14
Madera,5/19/2020,0,1,1,528,0,0,23
Fresno,5/19/2020,64,43,107,2138,17,7,88
Contra Costa,5/19/2020,14,74,88,1628,9,8,117
Santa Cruz,5/19/2020,1,0,1,397,0,0,13
Trinity,5/19/2020,0,0,0,54,0,0,
Tuolumne,5/19/2020,0,0,0,151,0,0,1
Lassen,5/19/2020,0,1,1,25,0,0,
Siskiyou,5/19/2020,0,0,0,65,0,0,3
Placer,5/19/2020,3,45,48,753,0,6,38
Tehama,5/19/2020,0,0,0,106,0,0,6
Stanislaus,5/19/2020,17,31,48,1369,3,2,87
Napa,5/19/2020,1,0,1,387,1,1,14
Mendocino,5/19/2020,1,0,1,180,1,0,6
Nevada,5/19/2020,0,0,0,113,0,0,9
San Bernardino,5/19/2020,134,76,210,4821,55,20,206
Alameda,5/19/2020,83,108,191,2968,40,16,122
San Mateo,5/19/2020,41,30,71,1096,10,5,26
Plumas,5/19/2020,0,0,0,45,0,0,
Amador,5/19/2020,0,0,0,51,0,0,3
Santa Barbara,5/19/2020,23,5,28,717,11,2,61
Del Norte,5/19/2020,0,0,0,51,0,0,1
San Benito,5/19/2020,1,0,1,25,1,0,1
San Diego,5/19/2020,319,68,387,6142,142,13,311
Merced,5/19/2020,7,1,8,242,4,0,2
Inyo,5/19/2020,0,0,0,42,0,0,4
Sutter,5/19/2020,0,0,0,14,0,0,
Monterey,5/19/2020,11,0,11,811,4,0,102
Kings,5/19/2020,23,1,24,199,5,1,0
Santa Clara,5/19/2020,43,57,100,3318,16,6,195
Yolo,5/19/2020,0,0,0,186,0,0,4
Butte,5/19/2020,1,0,1,448,1,0,23
Sacramento,5/19/2020,11,90,101,2392,4,12,115
San Luis Obispo,5/19/2020,2,1,3,526,1,1,20
Glenn,5/19/2020,0,0,0,,0,0,
Modoc,5/19/2020,0,1,1,41,0,0,
Santa Clara,5/20/2020,40,56,96,3318,16,5,170
Solano,5/20/2020,18,37,55,707,9,2,44
San Benito,5/20/2020,1,0,1,25,1,0,0
Merced,5/20/2020,8,1,9,242,4,0,1
San Francisco,5/20/2020,47,32,79,2619,20,7,113
Fresno,5/20/2020,56,41,97,2140,14,4,97
Mariposa,5/20/2020,0,2,2,30,0,0,
Stanislaus,5/20/2020,18,30,48,1369,3,5,80
Yolo,5/20/2020,0,0,0,186,0,0,7
Alameda,5/20/2020,81,134,215,2968,39,24,112
Plumas,5/20/2020,0,0,0,45,0,0,
Tehama,5/20/2020,0,0,0,106,0,0,7
Tuolumne,5/20/2020,0,0,0,151,0,0,4
Kings,5/20/2020,22,4,26,199,5,0,5
Siskiyou,5/20/2020,0,0,0,65,0,0,4
Santa Barbara,5/20/2020,23,4,27,717,11,1,60
Del Norte,5/20/2020,0,0,0,51,0,0,0
Trinity,5/20/2020,0,0,0,54,0,0,
Tulare,5/20/2020,42,3,45,920,9,3,21
Napa,5/20/2020,1,0,1,387,1,1,6
Glenn,5/20/2020,0,0,0,,0,0,
Kern,5/20/2020,48,8,56,1735,21,2,66
Marin,5/20/2020,4,25,29,390,0,0,20
Modoc,5/20/2020,0,1,1,41,0,0,
Mono,5/20/2020,0,0,0,17,0,0,2
San Diego,5/20/2020,335,69,404,6207,140,10,322
Sonoma,5/20/2020,2,34,36,871,2,2,52
Sacramento,5/20/2020,11,92,103,2378,3,14,106
Humboldt,5/20/2020,4,8,12,352,1,1,4
Butte,5/20/2020,4,1,5,448,2,0,20
Los Angeles,5/20/2020,1506,561,2067,23670,452,87,1253
Inyo,5/20/2020,0,0,0,42,0,0,2
Colusa,5/20/2020,0,0,0,88,0,0,6
Shasta,5/20/2020,0,0,0,667,0,0,6
Mendocino,5/20/2020,1,0,1,180,1,0,7
Riverside,5/20/2020,183,107,290,4010,67,28,144
Contra Costa,5/20/2020,9,73,82,1628,6,9,128
Lake,5/20/2020,0,2,2,110,0,0,3
Placer,5/20/2020,4,52,56,753,0,5,45
San Bernardino,5/20/2020,127,89,216,4821,51,14,213
Imperial,5/20/2020,80,3,83,214,22,0,8
Nevada,5/20/2020,0,0,0,116,0,0,9
San Luis Obispo,5/20/2020,2,6,8,526,1,2,21
Sutter,5/20/2020,0,0,0,14,0,0,
Yuba,5/20/2020,1,0,1,445,0,0,11
Monterey,5/20/2020,10,0,10,811,4,0,103
Amador,5/20/2020,0,0,0,51,0,0,2
San Joaquin,5/20/2020,9,29,38,1366,3,6,27
El Dorado,5/20/2020,0,2,2,199,0,2,7
Calaveras,5/20/2020,0,0,0,50,0,0,10
Lassen,5/20/2020,0,1,1,25,0,0,
Ventura,5/20/2020,36,26,62,1339,12,9,39
San Mateo,5/20/2020,37,37,74,1096,11,6,25
Madera,5/20/2020,0,4,4,528,0,0,21
Santa Cruz,5/20/2020,3,0,3,397,0,0,16
Orange,5/20/2020,275,113,388,7007,120,10,382
Ventura,5/21/2020,30,19,49,1329,12,3,44
San Mateo,5/21/2020,37,33,70,1096,10,4,26
Humboldt,5/21/2020,4,12,16,352,1,2,5
Sonoma,5/21/2020,4,31,35,871,3,5,49
Orange,5/21/2020,262,102,364,6993,119,11,401
El Dorado,5/21/2020,0,2,2,199,1,1,6
Trinity,5/21/2020,0,0,0,54,0,0,
San Bernardino,5/21/2020,131,93,224,4821,47,16,225
Placer,5/21/2020,7,59,66,753,2,7,35
Kings,5/21/2020,21,4,25,199,5,1,2
Tuolumne,5/21/2020,0,0,0,151,0,0,2
Madera,5/21/2020,0,0,0,528,0,0,18
Riverside,5/21/2020,194,91,285,4020,64,18,129
Alameda,5/21/2020,77,162,239,2968,39,23,114
Tehama,5/21/2020,0,0,0,106,0,0,8
San Benito,5/21/2020,1,0,1,25,1,0,0
Imperial,5/21/2020,75,3,78,210,22,0,10
Colusa,5/21/2020,0,0,0,88,0,0,6
Los Angeles,5/21/2020,1491,614,2105,23620,461,95,1199
Yolo,5/21/2020,0,3,3,186,0,1,5
Tulare,5/21/2020,39,1,40,920,8,1,9
Stanislaus,5/21/2020,22,30,52,1369,3,5,82
Siskiyou,5/21/2020,0,0,0,65,0,0,4
Calaveras,5/21/2020,0,1,1,50,0,1,9
Mono,5/21/2020,0,0,0,17,0,0,2
Amador,5/21/2020,0,0,0,51,0,0,1
Napa,5/21/2020,1,0,1,387,1,1,0
Glenn,5/21/2020,0,0,0,,0,0,
Fresno,5/21/2020,61,57,118,2144,16,4,99
Inyo,5/21/2020,0,0,0,42,0,0,2
Monterey,5/21/2020,8,1,9,811,4,0,103
Del Norte,5/21/2020,0,0,0,51,0,0,1
Shasta,5/21/2020,0,0,0,667,0,0,5
Merced,5/21/2020,6,0,6,242,4,0,3
Butte,5/21/2020,8,1,9,448,2,1,17
Lassen,5/21/2020,0,1,1,25,0,0,
Santa Barbara,5/21/2020,24,6,30,717,9,1,58
Marin,5/21/2020,4,29,33,390,0,0,18
San Joaquin,5/21/2020,8,23,31,1366,5,8,28
Kern,5/21/2020,44,10,54,1728,20,0,73
Yuba,5/21/2020,1,0,1,445,0,0,8
Sutter,5/21/2020,0,0,0,14,0,0,
Mariposa,5/21/2020,0,0,0,30,0,0,
Plumas,5/21/2020,0,0,0,45,0,0,
Santa Cruz,5/21/2020,4,1,5,397,1,0,14
Nevada,5/21/2020,0,0,0,112,0,0,6
San Luis Obispo,5/21/2020,2,5,7,473,1,2,20
Contra Costa,5/21/2020,8,75,83,1628,6,11,118
Sacramento,5/21/2020,7,100,107,2409,4,14,108
Lake,5/21/2020,0,0,0,110,0,0,3
Modoc,5/21/2020,0,1,1,41,0,0,
San Diego,5/21/2020,325,53,378,6180,139,6,313
Santa Clara,5/21/2020,39,60,99,3318,16,8,167
Solano,5/21/2020,18,35,53,707,7,6,45
Mendocino,5/21/2020,1,0,1,180,1,0,7
San Francisco,5/21/2020,43,37,80,2619,16,11,103
Santa Cruz,5/22/2020,4,1,5,397,1,0,11
San Luis Obispo,5/22/2020,2,1,3,469,1,1,21
Sonoma,5/22/2020,5,16,21,871,3,2,47
Santa Barbara,5/22/2020,20,4,24,717,7,2,60
Del Norte,5/22/2020,0,0,0,51,0,0,4
Ventura,5/22/2020,29,35,64,1345,12,5,42
Solano,5/22/2020,18,16,34,707,6,1,45
Marin,5/22/2020,3,3,6,390,1,1,15
Orange,5/22/2020,269,89,358,6993,127,18,397
Riverside,5/22/2020,195,115,310,4029,64,16,130
Lassen,5/22/2020,0,1,1,25,0,0,
Shasta,5/22/2020,0,1,1,667,0,0,13
Contra Costa,5/22/2020,11,30,41,1628,5,6,113
Stanislaus,5/22/2020,23,11,34,1374,3,2,81
Merced,5/22/2020,6,1,7,242,4,0,4
San Diego,5/22/2020,331,50,381,6221,145,10,333
Mendocino,5/22/2020,1,0,1,180,1,0,6
San Joaquin,5/22/2020,9,26,35,1366,5,6,23
Plumas,5/22/2020,0,0,0,45,0,0,
Butte,5/22/2020,7,1,8,448,2,0,17
Santa Clara,5/22/2020,36,19,55,3318,18,2,170
Siskiyou,5/22/2020,0,2,2,65,0,1,5
Kern,5/22/2020,45,8,53,1761,20,0,64
Yolo,5/22/2020,0,0,0,186,0,0,7
Inyo,5/22/2020,0,0,0,42,0,0,3
Trinity,5/22/2020,0,0,0,54,0,0,
Mono,5/22/2020,0,0,0,17,0,0,2
San Mateo,5/22/2020,40,12,52,1096,14,0,40
Humboldt,5/22/2020,4,13,17,352,1,1,3
Glenn,5/22/2020,0,0,0,,0,0,
Madera,5/22/2020,1,0,1,528,0,0,21
El Dorado,5/22/2020,0,4,4,199,1,2,8
San Francisco,5/22/2020,43,29,72,2619,18,11,84
Tulare,5/22/2020,38,1,39,881,9,1,31
Sutter,5/22/2020,0,0,0,14,0,0,
Napa,5/22/2020,1,7,8,387,1,0,0
Kings,5/22/2020,23,5,28,199,7,1,4
Tehama,5/22/2020,0,0,0,106,0,0,7
San Bernardino,5/22/2020,125,101,226,4821,44,11,218
Los Angeles,5/22/2020,1490,565,2055,23628,470,102,1187
Mariposa,5/22/2020,0,0,0,30,0,0,
Monterey,5/22/2020,9,1,10,811,3,1,104
Colusa,5/22/2020,0,0,0,88,0,0,6
Imperial,5/22/2020,75,2,77,210,23,0,9
San Benito,5/22/2020,1,0,1,25,0,0,1
Lake,5/22/2020,0,2,2,110,0,0,3
Amador,5/22/2020,0,1,1,51,0,0,1
Tuolumne,5/22/2020,0,0,0,151,0,0,2
Nevada,5/22/2020,0,0,0,119,0,0,8
Calaveras,5/22/2020,0,0,0,50,0,0,9
Yuba,5/22/2020,1,0,1,445,0,0,4
Modoc,5/22/2020,0,1,1,41,0,0,
Sacramento,5/22/2020,10,13,23,2400,2,2,106
Alameda,5/22/2020,79,81,160,2968,38,17,119
Placer,5/22/2020,6,20,26,753,3,5,42
Fresno,5/22/2020,64,30,94,2135,20,6,89
San Luis Obispo,5/23/2020,2,0,2,462,1,0,27
Plumas,5/23/2020,0,0,0,45,0,0,
Sutter,5/23/2020,0,0,0,14,0,0,
Glenn,5/23/2020,0,0,0,,0,0,
San Francisco,5/23/2020,45,28,73,2619,18,9,83
Modoc,5/23/2020,0,1,1,41,0,0,
Shasta,5/23/2020,0,1,1,667,0,0,13
Nevada,5/23/2020,0,0,0,120,0,1,4
Kings,5/23/2020,25,3,28,199,7,1,4
Stanislaus,5/23/2020,23,15,38,1369,6,2,87
Fresno,5/23/2020,66,37,103,2137,21,6,85
Tulare,5/23/2020,40,1,41,920,9,1,13
Sacramento,5/23/2020,12,12,24,2388,3,0,101
Mendocino,5/23/2020,3,2,5,180,0,0,7
Sonoma,5/23/2020,5,17,22,871,3,2,49
Yolo,5/23/2020,0,0,0,186,1,1,0
Tehama,5/23/2020,0,0,0,106,0,0,6
Riverside,5/23/2020,193,95,288,3971,59,20,142
San Joaquin,5/23/2020,10,21,31,1366,5,8,21
Placer,5/23/2020,6,19,25,753,3,5,42
Napa,5/23/2020,1,1,2,387,1,0,2
Inyo,5/23/2020,0,0,0,42,0,0,4
Lassen,5/23/2020,0,0,0,25,0,0,
San Diego,5/23/2020,304,82,386,6224,138,14,323
Contra Costa,5/23/2020,14,34,48,1628,6,6,100
Merced,5/23/2020,7,4,11,242,5,1,4
Del Norte,5/23/2020,0,0,0,51,0,0,0
Lake,5/23/2020,0,1,1,110,0,1,2
El Dorado,5/23/2020,1,5,6,199,1,5,3
Santa Barbara,5/23/2020,21,3,24,717,8,1,66
Siskiyou,5/23/2020,0,2,2,65,0,1,5
Solano,5/23/2020,18,14,32,707,6,0,43
San Bernardino,5/23/2020,134,100,234,4821,47,15,207
Humboldt,5/23/2020,4,13,17,352,1,1,3
Alameda,5/23/2020,80,78,158,2968,41,19,110
San Mateo,5/23/2020,39,11,50,1096,16,0,42
Santa Clara,5/23/2020,37,17,54,3318,18,1,178
Kern,5/23/2020,48,10,58,1727,22,2,78
Yuba,5/23/2020,1,0,1,445,0,0,9
Santa Cruz,5/23/2020,4,1,5,397,1,0,10
Marin,5/23/2020,2,4,6,390,1,2,15
Los Angeles,5/23/2020,1440,566,2006,23605,462,104,1257
Monterey,5/23/2020,7,1,8,811,3,1,104
Imperial,5/23/2020,75,2,77,210,23,0,9
Ventura,5/23/2020,29,25,54,1318,11,1,39
Tuolumne,5/23/2020,0,0,0,151,0,0,1
Calaveras,5/23/2020,0,0,0,50,0,0,9
Madera,5/23/2020,0,0,0,528,0,0,21
Colusa,5/23/2020,0,0,0,88,0,0,6
Orange,5/23/2020,278,94,372,6993,122,13,407
San Benito,5/23/2020,1,0,1,25,0,0,2
Mariposa,5/23/2020,0,0,0,30,0,0,
Butte,5/23/2020,5,0,5,448,2,0,20
Trinity,5/23/2020,0,0,0,54,0,0,
Mono,5/23/2020,0,0,0,17,0,0,2
Amador,5/23/2020,0,0,0,51,0,0,2
Placer,5/24/2020,5,21,26,753,3,6,39
Colusa,5/24/2020,0,0,0,88,0,0,6
Solano,5/24/2020,18,19,37,707,8,0,46
Santa Clara,5/24/2020,35,19,54,3318,16,2,195
San Francisco,5/24/2020,47,41,88,2619,20,10,97
Lassen,5/24/2020,0,0,0,25,0,0,
Kings,5/24/2020,25,3,28,199,8,2,7
Monterey,5/24/2020,7,1,8,811,3,1,106
Siskiyou,5/24/2020,0,2,2,65,0,1,5
Sacramento,5/24/2020,9,17,26,2363,2,4,110
Humboldt,5/24/2020,4,3,7,352,1,0,5
Sutter,5/24/2020,0,0,0,14,0,0,
Yuba,5/24/2020,1,0,1,445,0,0,13
Del Norte,5/24/2020,0,0,0,51,0,0,2
Contra Costa,5/24/2020,15,27,42,1628,6,5,102
Stanislaus,5/24/2020,22,15,37,1369,6,1,85
Marin,5/24/2020,2,4,6,390,1,2,13
Madera,5/24/2020,0,1,1,528,0,1,22
Modoc,5/24/2020,0,1,1,41,0,0,
Sonoma,5/24/2020,6,16,22,871,3,3,50
Tulare,5/24/2020,42,2,44,920,10,1,13
Alameda,5/24/2020,88,61,149,2968,44,11,119
Inyo,5/24/2020,0,0,0,42,0,0,4
Merced,5/24/2020,7,5,12,242,5,0,5
San Bernardino,5/24/2020,139,103,242,4821,48,22,196
Ventura,5/24/2020,32,36,68,1331,13,5,46
Trinity,5/24/2020,0,0,0,54,0,0,
Napa,5/24/2020,1,0,1,387,1,0,2
Amador,5/24/2020,0,0,0,51,0,0,0
San Luis Obispo,5/24/2020,2,1,3,461,1,0,28
Fresno,5/24/2020,66,40,106,2128,19,4,91
Los Angeles,5/24/2020,1443,547,1990,23608,448,101,1227
Plumas,5/24/2020,0,0,0,45,0,0,
El Dorado,5/24/2020,1,4,5,199,1,4,4
Imperial,5/24/2020,77,4,81,210,23,0,9
Santa Barbara,5/24/2020,21,6,27,717,8,0,71
Tehama,5/24/2020,0,0,0,106,0,0,6
San Benito,5/24/2020,1,0,1,25,0,0,0
Mono,5/24/2020,0,0,0,17,0,0,2
Butte,5/24/2020,5,0,5,448,2,0,20
San Joaquin,5/24/2020,11,25,36,1366,6,5,17
Riverside,5/24/2020,188,80,268,3944,60,18,150
Mariposa,5/24/2020,0,0,0,30,0,0,
Nevada,5/24/2020,0,0,0,121,0,2,1
Santa Cruz,5/24/2020,4,1,5,397,1,0,14
Glenn,5/24/2020,0,0,0,,0,0,
Kern,5/24/2020,53,4,57,1712,23,1,84
San Mateo,5/24/2020,39,13,52,1096,16,0,43
Calaveras,5/24/2020,0,1,1,50,0,0,10
San Diego,5/24/2020,310,60,370,6189,139,11,321
Orange,5/24/2020,286,102,388,6993,117,14,404
Mendocino,5/24/2020,3,2,5,180,0,0,7
Lake,5/24/2020,0,4,4,110,0,2,0
Yolo,5/24/2020,0,0,0,186,0,0,0
Tuolumne,5/24/2020,0,0,0,151,0,0,1
Shasta,5/24/2020,0,0,0,667,0,0,15
Inyo,5/25/2020,0,0,0,42,0,0,4
Tuolumne,5/25/2020,0,0,0,151,0,0,2
Alameda,5/25/2020,91,65,156,2968,40,20,115
Monterey,5/25/2020,10,0,10,811,3,0,106
Lassen,5/25/2020,0,0,0,25,0,0,
Ventura,5/25/2020,33,30,63,1337,10,4,46
Los Angeles,5/25/2020,1477,564,2041,23620,465,94,1453
Calaveras,5/25/2020,0,1,1,50,0,0,10
Contra Costa,5/25/2020,13,35,48,1628,6,13,103
Tulare,5/25/2020,40,2,42,920,13,2,22
Shasta,5/25/2020,0,0,0,667,0,0,16
Lake,5/25/2020,0,1,1,110,0,0,2
Kings,5/25/2020,26,3,29,199,8,2,3
San Diego,5/25/2020,317,68,385,6158,139,21,385
Imperial,5/25/2020,69,6,75,210,23,0,9
Del Norte,5/25/2020,0,1,1,51,0,0,3
San Mateo,5/25/2020,44,13,57,1096,15,5,46
San Luis Obispo,5/25/2020,2,0,2,448,1,0,26
Napa,5/25/2020,1,0,1,387,1,0,4
El Dorado,5/25/2020,1,3,4,199,1,3,11
Placer,5/25/2020,5,20,25,753,3,6,47
Yolo,5/25/2020,1,0,1,186,0,0,4
Amador,5/25/2020,0,0,0,51,0,0,1
Santa Cruz,5/25/2020,4,3,7,397,1,0,15
Nevada,5/25/2020,0,0,0,120,0,1,6
Santa Barbara,5/25/2020,19,8,27,717,8,0,70
Solano,5/25/2020,21,20,41,707,11,4,44
Sacramento,5/25/2020,9,17,26,2381,2,29,116
Kern,5/25/2020,51,8,59,1707,25,1,77
Trinity,5/25/2020,0,0,0,54,0,0,
Madera,5/25/2020,1,1,2,528,0,0,24
Sonoma,5/25/2020,5,22,27,871,3,6,46
Plumas,5/25/2020,0,0,0,45,0,0,
Tehama,5/25/2020,0,0,0,106,0,0,3
Mariposa,5/25/2020,0,1,1,30,0,0,
Colusa,5/25/2020,0,0,0,88,0,0,6
Merced,5/25/2020,6,4,10,242,4,1,10
Marin,5/25/2020,3,4,7,390,1,6,9
Modoc,5/25/2020,0,1,1,41,0,0,
San Benito,5/25/2020,1,0,1,25,0,0,0
Mono,5/25/2020,0,0,0,17,0,0,2
Sutter,5/25/2020,0,0,0,14,0,0,
Humboldt,5/25/2020,6,4,10,352,1,0,4
Orange,5/25/2020,300,94,394,6993,119,19,441
Mendocino,5/25/2020,2,0,2,180,1,0,5
Fresno,5/25/2020,66,38,104,2128,19,1,92
Riverside,5/25/2020,193,88,281,3959,63,15,159
Butte,5/25/2020,7,0,7,448,3,0,19
San Joaquin,5/25/2020,12,24,36,1366,6,4,22
Santa Clara,5/25/2020,32,20,52,3318,14,12,204
Stanislaus,5/25/2020,18,11,29,1369,6,4,79
Glenn,5/25/2020,0,0,0,,0,0,
San Bernardino,5/25/2020,138,116,254,4821,48,23,245
Siskiyou,5/25/2020,0,2,2,65,0,1,5
San Francisco,5/25/2020,40,41,81,2619,21,11,100
Yuba,5/25/2020,1,0,1,445,0,0,11
Mendocino,5/26/2020,3,1,4,180,1,0,4
Del Norte,5/26/2020,0,1,1,51,0,0,2
Siskiyou,5/26/2020,0,0,0,65,0,0,7
El Dorado,5/26/2020,0,2,2,199,0,2,8
Merced,5/26/2020,6,3,9,242,4,1,5
San Benito,5/26/2020,1,0,1,25,0,0,2
Colusa,5/26/2020,0,0,0,88,0,0,6
Mono,5/26/2020,0,0,0,17,0,0,2
Plumas,5/26/2020,0,0,0,45,0,0,
San Bernardino,5/26/2020,154,125,279,4821,57,19,237
Los Angeles,5/26/2020,1477,610,2087,23592,464,103,1449
San Luis Obispo,5/26/2020,2,2,4,447,1,0,28
Amador,5/26/2020,0,0,0,51,0,0,3
Shasta,5/26/2020,1,0,1,667,0,0,13
Fresno,5/26/2020,69,29,98,2141,20,2,96
Stanislaus,5/26/2020,18,14,32,1369,7,5,85
Modoc,5/26/2020,0,1,1,41,0,0,
Butte,5/26/2020,5,0,5,448,3,0,20
Trinity,5/26/2020,0,3,3,54,0,0,
Nevada,5/26/2020,1,3,4,129,1,2,6
San Joaquin,5/26/2020,14,29,43,1366,6,8,24
Imperial,5/26/2020,69,8,77,210,22,0,10
Sonoma,5/26/2020,5,20,25,871,2,4,59
Glenn,5/26/2020,0,0,0,47,0,0,
Placer,5/26/2020,6,21,27,753,3,5,43
Riverside,5/26/2020,207,102,309,3959,68,22,173
San Mateo,5/26/2020,45,9,54,1096,16,4,47
Inyo,5/26/2020,0,0,0,42,0,0,4
Yolo,5/26/2020,1,0,1,186,0,0,5
Orange,5/26/2020,301,117,418,6993,119,18,439
Humboldt,5/26/2020,5,5,10,352,1,1,3
Marin,5/26/2020,2,3,5,390,1,5,8
Contra Costa,5/26/2020,13,36,49,1628,6,14,115
Lake,5/26/2020,0,1,1,110,0,0,0
Sutter,5/26/2020,0,0,0,14,0,0,
Yuba,5/26/2020,1,0,1,445,0,0,12
Tuolumne,5/26/2020,0,1,1,151,0,1,0
Alameda,5/26/2020,93,76,169,2968,37,20,124
Ventura,5/26/2020,34,28,62,1344,11,5,40
Tulare,5/26/2020,37,4,41,920,8,4,19
Solano,5/26/2020,19,16,35,707,9,2,45
Calaveras,5/26/2020,0,0,0,50,0,0,11
Monterey,5/26/2020,11,1,12,811,3,1,105
Tehama,5/26/2020,0,1,1,106,0,0,2
Madera,5/26/2020,1,4,5,528,0,0,22
San Diego,5/26/2020,325,58,383,6167,145,8,375
Santa Barbara,5/26/2020,18,5,23,717,8,2,84
Mariposa,5/26/2020,0,2,2,30,0,0,
San Francisco,5/26/2020,40,47,87,2619,20,14,95
Sacramento,5/26/2020,9,9,18,2376,4,26,98
Lassen,5/26/2020,0,1,1,25,0,0,
Kings,5/26/2020,24,3,27,199,8,2,2
Santa Clara,5/26/2020,33,20,53,3318,14,12,195
Kern,5/26/2020,59,7,66,1724,24,0,82
Santa Cruz,5/26/2020,4,1,5,397,1,0,14
Napa,5/26/2020,1,1,2,387,1,0,3
San Benito,5/27/2020,1,0,1,25,0,0,1
Fresno,5/27/2020,71,44,115,2143,19,4,93
Alameda,5/27/2020,95,69,164,2968,37,10,128
Merced,5/27/2020,6,2,8,242,4,0,3
San Joaquin,5/27/2020,14,23,37,1366,7,4,21
Mariposa,5/27/2020,0,2,2,30,0,0,
Placer,5/27/2020,6,14,20,753,3,1,45
Lassen,5/27/2020,0,1,1,25,0,0,
Shasta,5/27/2020,0,0,0,667,0,0,15
Sutter,5/27/2020,0,0,0,14,0,0,
Tehama,5/27/2020,0,0,0,106,0,0,3
Santa Cruz,5/27/2020,3,0,3,397,1,0,15
Amador,5/27/2020,0,0,0,51,0,0,3
Mendocino,5/27/2020,3,1,4,180,1,1,3
Monterey,5/27/2020,11,0,11,811,3,0,100
Del Norte,5/27/2020,0,0,0,51,0,0,4
El Dorado,5/27/2020,1,2,3,199,1,2,7
Santa Clara,5/27/2020,28,24,52,3318,12,3,188
Yuba,5/27/2020,1,0,1,445,0,0,12
Mono,5/27/2020,0,0,0,17,0,0,2
Orange,5/27/2020,307,111,418,6993,125,19,403
Plumas,5/27/2020,0,0,0,45,0,0,
Colusa,5/27/2020,0,0,0,88,0,0,6
Butte,5/27/2020,6,1,7,448,3,0,21
San Luis Obispo,5/27/2020,2,4,6,464,2,1,22
Santa Barbara,5/27/2020,22,5,27,717,9,2,94
Modoc,5/27/2020,0,0,0,41,0,0,
Inyo,5/27/2020,0,0,0,42,0,0,4
Stanislaus,5/27/2020,17,8,25,1369,6,3,89
San Bernardino,5/27/2020,159,101,260,4821,54,19,222
Lake,5/27/2020,0,0,0,110,0,0,0
Sonoma,5/27/2020,9,22,31,871,3,2,51
Kings,5/27/2020,23,1,24,199,7,0,0
Napa,5/27/2020,1,1,2,387,1,0,2
Madera,5/27/2020,2,2,4,528,0,0,24
Los Angeles,5/27/2020,1462,628,2090,23626,464,90,1275
Humboldt,5/27/2020,5,4,9,352,1,0,3
San Mateo,5/27/2020,33,8,41,1096,16,3,46
Contra Costa,5/27/2020,11,30,41,1628,7,6,115
Sacramento,5/27/2020,8,21,29,2401,6,3,87
Kern,5/27/2020,63,5,68,1727,28,0,72
San Diego,5/27/2020,329,79,408,6215,144,12,315
Tulare,5/27/2020,36,5,41,920,10,3,13
Ventura,5/27/2020,28,24,52,1349,10,10,40
Trinity,5/27/2020,0,2,2,54,0,0,
Nevada,5/27/2020,1,3,4,122,1,2,6
Tuolumne,5/27/2020,0,0,0,151,0,0,0
Marin,5/27/2020,1,1,2,390,1,0,10
Riverside,5/27/2020,199,114,313,4005,66,21,131
San Francisco,5/27/2020,40,42,82,2619,18,9,98
Calaveras,5/27/2020,0,0,0,50,0,0,11
Siskiyou,5/27/2020,0,3,3,65,0,1,5
Solano,5/27/2020,20,14,34,707,8,2,41
Glenn,5/27/2020,0,0,0,47,0,0,
Imperial,5/27/2020,67,17,84,210,14,0,13
Yolo,5/27/2020,0,0,0,186,0,0,3
Napa,5/28/2020,1,1,2,387,1,0,1
Yolo,5/28/2020,0,0,0,186,0,0,8
San Luis Obispo,5/28/2020,2,0,2,475,2,0,24
Madera,5/28/2020,1,0,1,528,0,0,25
Marin,5/28/2020,3,7,10,390,1,0,14
Contra Costa,5/28/2020,13,38,51,1628,7,7,103
Lassen,5/28/2020,0,1,1,25,0,0,
Butte,5/28/2020,5,1,6,448,3,0,22
San Francisco,5/28/2020,49,42,91,2619,20,9,83
Lake,5/28/2020,0,1,1,110,0,0,0
Los Angeles,5/28/2020,1415,639,2054,23608,458,112,1275
San Mateo,5/28/2020,39,10,49,1096,17,1,44
San Benito,5/28/2020,0,0,0,25,0,0,0
Sutter,5/28/2020,0,0,0,14,0,0,
Mariposa,5/28/2020,0,2,2,30,0,0,
Del Norte,5/28/2020,0,0,0,51,0,0,4
Glenn,5/28/2020,0,0,0,47,0,0,
Trinity,5/28/2020,0,3,3,54,0,0,
Inyo,5/28/2020,0,0,0,42,0,0,4
Siskiyou,5/28/2020,0,0,0,65,0,0,6
Plumas,5/28/2020,0,0,0,45,0,0,
Alameda,5/28/2020,96,57,153,2968,44,13,106
San Joaquin,5/28/2020,15,25,40,1366,5,5,16
Mendocino,5/28/2020,3,0,3,180,1,0,4
Nevada,5/28/2020,1,2,3,128,1,1,5
