county,date,confirmed_patients,suspected_patients,all_hospital_beds,icu_covid_confirmed,icu_covid_suspected,icu_available_beds,total_covid_patients
Marin,2020-04-28,1,7,358,1,1,19,8
Shasta,2020-04-28,2,1,645,2,0,6,3
Riverside,2020-04-28,215,112,3716,78,20,170,327
Imperial,2020-04-28,29,4,260,12,1,4,33
Santa Cruz,2020-04-28,2,0,354,1,0,15,2
San Joaquin,2020-04-28,24,16,1146,10,6,25,40
Ventura,2020-04-28,31,71,1295,11,11,26,102
San Benito,2020-04-28,0,0,25,0,0,2,0
Napa,2020-04-28,1,0,387,0,0,5,1
Orange,2020-04-28,203,84,5370,75,25,369,287
Mendocino,2020-04-28,0,0,151,0,0,8,0
San Bernardino,2020-04-28,156,123,4556,51,31,179,279
Colusa,2020-04-28,1,0,80,1,0,5,1
Alameda,2020-04-28,76,64,1748,37,13,148,140
Los Angeles,2020-04-28,1962,581,20337,597,130,1209,2543
Monterey,2020-04-28,2,7,875,2,2,116,9
Glenn,2020-04-28,0,0,0,0,0,0,0
San Francisco,2020-04-28,81,23,1412,27,9,132,104
Sacramento,2020-04-28,43,33,1256,16,9,129,76
Mono,2020-04-28,0,0,17,0,0,2,0
Tulare,2020-04-28,32,2,898,6,0,26,34
San Luis Obispo,2020-04-28,3,3,526,3,1,33,6
El Dorado,2020-04-28,1,7,159,0,2,8,8
Calaveras,2020-04-28,0,1,50,0,0,12,1
Nevada,2020-04-28,1,2,102,1,1,4,3
Contra Costa,2020-04-28,27,43,1485,11,12,137,70
Plumas,2020-04-28,0,0,9,0,0,0,0
Butte,2020-04-28,0,1,424,0,0,19,1
Lake,2020-04-28,0,2,58,0,1,3,2
San Diego,2020-04-28,276,105,5605,112,18,361,381
Yuba,2020-04-28,0,2,445,0,1,8,2
Tehama,2020-04-28,0,0,106,0,0,5,0
Madera,2020-04-28,0,1,568,0,0,19,1
Merced,2020-04-28,2,6,206,1,1,4,8
Kern,2020-04-28,32,13,1702,22,3,53,45
Amador,2020-04-28,0,0,0,0,0,4,0
Kings,2020-04-28,9,2,199,2,0,8,11
Inyo,2020-04-28,0,0,56,0,0,6,0
Modoc,2020-04-28,0,1,12,0,0,0,1
San Mateo,2020-04-28,50,13,790,17,0,49,63
San Benito,2020-04-29,0,0,25,0,0,1,0
Tehama,2020-04-29,0,0,106,0,0,5,0
Tulare,2020-04-29,30,0,920,5,0,30,30
Lassen,2020-04-29,0,0,25,0,0,0,0
Merced,2020-04-29,2,7,206,1,1,5,9
San Luis Obispo,2020-04-29,3,2,526,3,0,34,5
Del Norte,2020-04-29,0,3,0,0,1,2,3
San Bernardino,2020-04-29,156,124,4556,56,23,162,280
Solano,2020-04-29,10,18,592,5,5,56,28
El Dorado,2020-04-29,0,4,156,0,2,6,4
Madera,2020-04-29,0,1,568,0,0,22,1
Marin,2020-04-29,0,6,358,0,1,22,6
Humboldt,2020-04-29,1,5,305,0,3,7,6
Stanislaus,2020-04-29,35,26,1573,4,5,97,61
Sacramento,2020-04-29,42,36,1314,17,5,137,78
Trinity,2020-04-29,0,0,54,0,0,0,0
Inyo,2020-04-29,0,0,56,0,0,6,0
Kings,2020-04-29,9,2,199,2,0,8,11
Imperial,2020-04-29,29,5,258,13,0,4,34
Ventura,2020-04-29,31,26,1354,10,7,50,57
Mono,2020-04-29,0,0,17,0,0,1,0
Los Angeles,2020-04-29,1959,591,20960,602,97,1167,2550
Riverside,2020-04-29,212,124,3728,78,32,201,336
Orange,2020-04-29,211,91,5397,76,16,373,302
San Joaquin,2020-04-29,21,20,1146,9,7,30,41
Yolo,2020-04-29,0,0,130,0,1,10,0
Lake,2020-04-29,0,2,58,0,1,1,2
Modoc,2020-04-29,0,0,24,0,0,0,0
Santa Barbara,2020-04-29,28,14,717,12,2,85,42
Nevada,2020-04-29,1,2,102,1,1,4,3
Yuba,2020-04-29,0,0,445,0,0,10,0
Monterey,2020-04-29,4,3,875,3,0,106,7
Alameda,2020-04-29,76,63,1746,33,13,168,139
Mariposa,2020-04-29,0,1,30,0,0,0,1
Shasta,2020-04-29,2,0,645,2,0,5,2
Calaveras,2020-04-29,0,0,50,0,0,12,0
Tuolumne,2020-04-29,0,0,151,0,0,0,0
Sonoma,2020-04-29,5,14,789,2,2,51,19
Placer,2020-04-29,5,28,340,1,3,80,33
Amador,2020-04-29,0,0,0,0,0,4,0
Santa Clara,2020-04-29,110,34,3331,46,2,198,144
Fresno,2020-04-29,38,48,2007,16,8,91,86
Mendocino,2020-04-29,0,0,151,0,0,6,0
Plumas,2020-04-29,0,0,39,0,0,0,0
Sutter,2020-04-29,0,0,0,0,0,0,0
Glenn,2020-04-29,0,0,0,0,0,0,0
Contra Costa,2020-04-29,24,50,1485,9,14,131,74
Napa,2020-04-29,1,0,387,0,0,6,1
Santa Cruz,2020-04-29,2,0,354,1,0,8,2
San Francisco,2020-04-29,80,24,1862,26,6,107,104
San Diego,2020-04-29,282,73,5619,119,17,363,355
Kern,2020-04-29,36,13,1702,23,3,59,49
San Mateo,2020-04-29,51,19,790,16,1,52,70
Butte,2020-04-29,0,2,424,0,1,20,2
Siskiyou,2020-04-29,0,3,65,0,1,2,3
Colusa,2020-04-29,1,0,80,1,0,5,1
Monterey,2020-04-30,6,6,875,3,3,106,12
Plumas,2020-04-30,0,0,39,0,0,0,0
Contra Costa,2020-04-30,24,43,1485,9,6,141,67
Del Norte,2020-04-30,0,4,0,0,2,2,4
Lake,2020-04-30,0,2,58,0,0,2,2
Los Angeles,2020-04-30,1894,470,18236,591,93,1235,2364
Alameda,2020-04-30,74,52,1746,34,12,165,126
Napa,2020-04-30,1,0,387,0,0,7,1
Calaveras,2020-04-30,0,0,50,0,0,12,0
Yolo,2020-04-30,0,0,130,0,0,12,0
Tuolumne,2020-04-30,0,0,151,0,0,0,0
Lassen,2020-04-30,0,0,25,0,0,0,0
Glenn,2020-04-30,0,0,0,0,0,0,0
Shasta,2020-04-30,2,0,645,2,0,10,2
Yuba,2020-04-30,0,0,445,0,0,14,0
Nevada,2020-04-30,0,1,104,0,1,4,1
Imperial,2020-04-30,29,3,261,13,0,4,32
El Dorado,2020-04-30,0,6,156,0,1,10,6
Sutter,2020-04-30,0,0,0,0,0,0,0
Placer,2020-04-30,4,28,340,1,4,82,32
Amador,2020-04-30,0,0,0,0,0,4,0
Merced,2020-04-30,3,2,206,1,0,5,5
Siskiyou,2020-04-30,0,2,65,0,0,4,2
Colusa,2020-04-30,1,0,80,1,0,5,1
San Luis Obispo,2020-04-30,3,3,526,3,1,30,6
Modoc,2020-04-30,0,0,41,0,0,0,0
Butte,2020-04-30,0,0,424,0,0,20,0
San Francisco,2020-04-30,85,11,1887,32,1,100,96
Santa Clara,2020-04-30,104,37,3331,45,3,191,141
Humboldt,2020-04-30,0,7,305,0,2,8,7
Tulare,2020-04-30,28,2,920,5,2,29,30
Sonoma,2020-04-30,5,7,789,2,3,50,12
Santa Cruz,2020-04-30,3,0,354,2,0,16,3
Tehama,2020-04-30,0,0,106,0,0,4,0
San Joaquin,2020-04-30,17,24,1146,8,4,30,41
San Benito,2020-04-30,1,0,25,0,0,2,1
Stanislaus,2020-04-30,35,27,1573,3,5,100,62
Orange,2020-04-30,214,68,4725,74,13,457,282
San Bernardino,2020-04-30,158,100,3738,58,17,184,258
Inyo,2020-04-30,0,0,56,0,0,6,0
Mendocino,2020-04-30,0,0,151,0,0,5,0
Kings,2020-04-30,10,0,199,2,0,3,10
Sacramento,2020-04-30,37,35,1332,17,5,129,72
Fresno,2020-04-30,41,37,1997,15,4,83,78
Ventura,2020-04-30,33,18,1381,10,4,51,51
Riverside,2020-04-30,214,138,3310,85,30,184,352
Trinity,2020-04-30,0,0,54,0,0,0,0
Santa Barbara,2020-04-30,26,9,717,13,3,85,35
Madera,2020-04-30,0,3,568,0,0,21,3
Solano,2020-04-30,11,12,592,5,3,57,23
Mono,2020-04-30,0,0,17,0,0,1,0
Kern,2020-04-30,29,25,1385,20,0,49,54
Marin,2020-04-30,0,3,358,0,0,19,3
San Diego,2020-04-30,283,81,4933,122,19,357,364
Mariposa,2020-04-30,0,2,30,0,0,0,2
San Mateo,2020-04-30,53,10,790,16,1,48,63
Humboldt,2020-05-01,0,5,305,0,0,7,5
Los Angeles,2020-05-01,1884,511,18549,606,98,1185,2395
Sonoma,2020-05-01,4,15,789,1,4,52,19
Modoc,2020-05-01,0,0,41,0,0,0,0
Calaveras,2020-05-01,0,1,50,0,0,12,1
Yuba,2020-05-01,0,0,445,0,0,8,0
Tuolumne,2020-05-01,0,0,151,0,0,0,0
Lassen,2020-05-01,0,0,25,0,0,0,0
Stanislaus,2020-05-01,35,19,1573,2,3,86,54
Tehama,2020-05-01,0,0,106,0,0,3,0
Butte,2020-05-01,0,1,424,0,1,20,1
Trinity,2020-05-01,0,0,54,0,0,0,0
Contra Costa,2020-05-01,21,37,1485,8,7,143,58
Placer,2020-05-01,5,15,340,2,2,80,20
Shasta,2020-05-01,1,0,645,1,0,15,1
Colusa,2020-05-01,1,0,80,1,0,5,1
Imperial,2020-05-01,36,3,263,14,1,2,39
San Diego,2020-05-01,290,60,4932,123,11,365,350
Mendocino,2020-05-01,0,0,151,0,0,6,0
Mariposa,2020-05-01,0,2,30,0,0,0,2
San Benito,2020-05-01,1,0,25,0,0,1,1
Yolo,2020-05-01,0,0,130,0,0,14,0
Amador,2020-05-01,0,0,0,0,0,-2,0
Marin,2020-05-01,0,5,358,0,0,23,5
Alameda,2020-05-01,75,60,1746,32,13,165,135
Sacramento,2020-05-01,35,29,1347,14,4,122,64
Nevada,2020-05-01,0,1,105,0,1,6,1
Tulare,2020-05-01,28,2,920,5,2,23,30
Lake,2020-05-01,0,2,58,0,1,2,2
Del Norte,2020-05-01,0,0,0,0,0,3,0
Kern,2020-05-01,35,13,1717,19,0,47,48
Siskiyou,2020-05-01,0,2,65,0,0,4,2
Riverside,2020-05-01,210,152,3302,83,39,217,362
San Bernardino,2020-05-01,157,106,3738,55,15,138,263
Glenn,2020-05-01,0,0,0,0,0,0,0
San Luis Obispo,2020-05-01,3,4,526,1,2,21,7
Kings,2020-05-01,11,0,199,2,0,1,11
Plumas,2020-05-01,0,0,39,0,0,0,0
Merced,2020-05-01,4,1,206,1,0,3,5
Orange,2020-05-01,218,101,4725,62,23,374,319
Santa Cruz,2020-05-01,3,1,354,2,0,13,4
Santa Clara,2020-05-01,97,43,3331,38,6,197,140
San Mateo,2020-05-01,48,12,790,15,3,49,60
Napa,2020-05-01,0,2,387,0,0,6,2
Santa Barbara,2020-05-01,28,10,717,13,2,77,38
Ventura,2020-05-01,29,12,1375,10,4,51,41
Mono,2020-05-01,0,0,17,0,0,1,0
Madera,2020-05-01,0,0,568,0,0,19,0
Sutter,2020-05-01,0,0,0,0,0,0,0
Inyo,2020-05-01,0,0,56,0,0,4,0
Solano,2020-05-01,10,11,592,6,3,58,21
San Joaquin,2020-05-01,17,16,1146,9,5,21,33
Monterey,2020-05-01,7,1,875,3,1,105,8
San Francisco,2020-05-01,86,14,1887,32,0,101,100
Fresno,2020-05-01,44,28,2004,18,3,77,72
El Dorado,2020-05-01,0,2,156,0,1,11,2
San Francisco,2020-05-02,81,27,1915,29,7,101,108
Mendocino,2020-05-02,0,0,151,0,0,7,0
Santa Cruz,2020-05-02,3,0,354,1,0,11,3
El Dorado,2020-05-02,0,2,156,0,1,10,2
Kern,2020-05-02,36,7,1723,19,1,41,43
San Mateo,2020-05-02,48,13,790,16,1,51,61
Colusa,2020-05-02,1,0,80,1,0,5,1
Fresno,2020-05-02,45,36,2008,17,2,87,81
Napa,2020-05-02,0,1,387,0,0,3,1
Glenn,2020-05-02,0,0,0,0,0,0,0
Mono,2020-05-02,0,0,17,0,0,1,0
Solano,2020-05-02,14,15,592,7,6,54,29
Humboldt,2020-05-02,0,5,305,0,0,8,5
Placer,2020-05-02,5,23,340,2,4,82,28
Sacramento,2020-05-02,23,35,1299,16,10,119,58
San Diego,2020-05-02,289,68,5513,123,18,370,357
Shasta,2020-05-02,0,0,645,0,0,13,0
Amador,2020-05-02,0,0,0,0,0,3,0
Tulare,2020-05-02,28,2,920,5,2,24,30
Yuba,2020-05-02,0,0,445,0,0,12,0
Lassen,2020-05-02,0,0,25,0,0,0,0
Trinity,2020-05-02,0,0,54,0,0,0,0
Sonoma,2020-05-02,3,14,789,2,1,49,17
San Benito,2020-05-02,1,0,25,0,0,2,1
Monterey,2020-05-02,8,3,829,3,2,103,11
Siskiyou,2020-05-02,0,0,65,0,0,6,0
San Luis Obispo,2020-05-02,3,10,526,1,4,21,13
Modoc,2020-05-02,0,0,41,0,0,0,0
Alameda,2020-05-02,73,59,1746,31,7,163,132
Tuolumne,2020-05-02,0,0,151,0,0,2,0
Calaveras,2020-05-02,0,1,50,0,1,11,1
Merced,2020-05-02,4,4,206,2,0,3,8
Los Angeles,2020-05-02,1819,561,21176,599,105,1185,2380
Santa Barbara,2020-05-02,25,11,717,13,4,80,36
Mariposa,2020-05-02,0,0,30,0,0,0,0
Butte,2020-05-02,0,0,424,0,0,19,0
Ventura,2020-05-02,26,26,1416,10,7,55,52
Stanislaus,2020-05-02,36,30,1573,1,7,87,66
Marin,2020-05-02,0,11,358,0,0,24,11
San Bernardino,2020-05-02,144,116,4419,55,22,126,260
Riverside,2020-05-02,211,126,3829,78,31,197,337
Contra Costa,2020-05-02,20,45,1485,9,8,139,65
Plumas,2020-05-02,0,0,39,0,0,0,0
Inyo,2020-05-02,0,0,42,0,0,2,0
Del Norte,2020-05-02,0,0,0,0,0,4,0
Madera,2020-05-02,0,0,568,0,0,20,0
Sutter,2020-05-02,0,0,0,0,0,0,0
Yolo,2020-05-02,0,0,130,0,0,11,0
Orange,2020-05-02,215,107,5374,64,34,376,322
San Joaquin,2020-05-02,17,16,1146,9,6,22,33
Santa Clara,2020-05-02,95,36,3331,40,6,195,131
Imperial,2020-05-02,36,3,261,14,1,2,39
Nevada,2020-05-02,0,2,118,0,1,6,2
Kings,2020-05-02,9,1,199,2,0,3,10
Lake,2020-05-02,0,0,58,0,0,2,0
Tehama,2020-05-02,0,0,106,0,0,5,0
Napa,2020-05-03,0,0,387,0,0,4,0
Kings,2020-05-03,9,1,199,2,0,2,10
Alameda,2020-05-03,73,62,1746,33,15,164,135
Shasta,2020-05-03,0,0,645,0,0,12,0
Siskiyou,2020-05-03,0,0,65,0,0,6,0
Placer,2020-05-03,7,12,340,2,4,84,19
Merced,2020-05-03,6,3,206,4,0,3,9
San Bernardino,2020-05-03,154,100,4419,59,16,135,254
San Luis Obispo,2020-05-03,4,5,526,1,3,22,9
Santa Barbara,2020-05-03,28,6,717,14,1,88,34
Nevada,2020-05-03,0,1,118,0,0,8,1
Inyo,2020-05-03,0,1,42,0,0,2,1
Mono,2020-05-03,0,0,17,0,0,1,0
San Diego,2020-05-03,276,76,5545,125,20,369,352
Santa Cruz,2020-05-03,3,0,354,1,0,15,3
Marin,2020-05-03,0,6,358,0,0,24,6
Madera,2020-05-03,0,0,568,0,0,19,0
Tehama,2020-05-03,0,0,106,0,0,5,0
San Joaquin,2020-05-03,17,18,1146,9,6,22,35
Mariposa,2020-05-03,0,0,30,0,0,0,0
San Mateo,2020-05-03,47,14,790,16,2,50,61
Plumas,2020-05-03,0,2,29,0,0,0,2
Stanislaus,2020-05-03,33,15,1573,1,7,77,48
Trinity,2020-05-03,0,0,54,0,0,0,0
El Dorado,2020-05-03,0,2,154,0,1,10,2
Humboldt,2020-05-03,1,2,305,0,0,8,3
Sacramento,2020-05-03,26,31,1293,16,12,117,57
Mendocino,2020-05-03,0,0,151,0,0,7,0
Riverside,2020-05-03,217,132,3809,78,34,179,349
Orange,2020-05-03,218,90,5374,66,25,376,308
Contra Costa,2020-05-03,20,44,1485,8,7,147,64
Sonoma,2020-05-03,2,14,789,1,4,51,16
Santa Clara,2020-05-03,93,39,3331,40,7,199,132
Los Angeles,2020-05-03,1779,520,21621,599,95,1178,2299
Yuba,2020-05-03,0,1,445,0,1,7,1
Del Norte,2020-05-03,0,0,0,0,0,7,0
Fresno,2020-05-03,45,43,2008,18,4,86,88
Monterey,2020-05-03,7,1,829,3,1,92,8
San Francisco,2020-05-03,83,18,1915,30,4,107,101
Glenn,2020-05-03,0,0,0,0,0,0,0
Calaveras,2020-05-03,0,1,50,0,1,11,1
Kern,2020-05-03,30,12,1710,16,2,86,42
Imperial,2020-05-03,39,5,251,13,1,3,44
Lassen,2020-05-03,0,0,25,0,0,0,0
San Benito,2020-05-03,0,0,25,0,0,2,0
Butte,2020-05-03,0,2,424,0,0,22,2
Amador,2020-05-03,0,0,0,0,0,2,0
Ventura,2020-05-03,29,34,1386,8,8,58,63
Solano,2020-05-03,14,11,592,8,1,58,25
Colusa,2020-05-03,1,0,80,1,0,5,1
Lake,2020-05-03,0,3,58,0,1,2,3
Yolo,2020-05-03,0,0,130,1,1,9,0
Tuolumne,2020-05-03,0,0,151,0,0,2,0
Tulare,2020-05-03,23,5,920,6,1,26,28
Modoc,2020-05-03,0,0,41,0,0,0,0
Sutter,2020-05-03,0,0,0,0,0,0,0
San Bernardino,2020-05-04,156,103,4564,58,11,146,259
Yolo,2020-05-04,0,0,130,1,1,9,0
Colusa,2020-05-04,0,0,88,0,0,6,0
Mariposa,2020-05-04,0,0,30,0,0,0,0
Tehama,2020-05-04,0,0,106,0,0,6,0
Sonoma,2020-05-04,3,13,789,1,2,57,16
Calaveras,2020-05-04,0,1,50,0,0,11,1
Humboldt,2020-05-04,1,2,344,0,1,8,3
Napa,2020-05-04,0,0,387,0,1,5,0
Riverside,2020-05-04,216,107,3898,75,29,202,323
Shasta,2020-05-04,0,0,667,0,0,12,0
Kings,2020-05-04,9,1,199,2,0,4,10
Amador,2020-05-04,0,0,0,0,0,3,0
Madera,2020-05-04,1,0,568,0,0,22,1
Trinity,2020-05-04,0,0,54,0,0,0,0
Lassen,2020-05-04,0,0,25,0,0,0,0
Butte,2020-05-04,0,1,448,0,0,12,1
Marin,2020-05-04,1,7,350,0,3,21,8
San Francisco,2020-05-04,84,10,1887,26,0,118,94
Sutter,2020-05-04,0,0,0,0,0,0,0
Solano,2020-05-04,15,22,592,8,0,57,37
San Diego,2020-05-04,300,54,5588,124,11,373,354
Stanislaus,2020-05-04,34,11,995,2,3,90,45
Merced,2020-05-04,6,6,206,4,1,6,12
Ventura,2020-05-04,26,17,1383,9,5,55,43
San Mateo,2020-05-04,45,14,790,13,0,54,59
Plumas,2020-05-04,0,2,29,0,0,0,2
Imperial,2020-05-04,47,9,252,16,0,1,56
Lake,2020-05-04,0,4,58,0,0,4,4
Glenn,2020-05-04,0,0,0,0,0,0,0
San Luis Obispo,2020-05-04,3,8,526,2,2,24,11
Modoc,2020-05-04,0,0,41,0,0,0,0
Santa Clara,2020-05-04,90,33,3331,37,5,210,123
Tulare,2020-05-04,21,1,920,6,0,24,22
Monterey,2020-05-04,5,0,829,3,0,102,5
Yuba,2020-05-04,0,1,445,0,1,9,1
Sacramento,2020-05-04,27,23,1284,16,5,131,50
Inyo,2020-05-04,0,1,42,0,0,4,1
Placer,2020-05-04,11,6,340,1,0,88,17
Fresno,2020-05-04,47,39,2001,19,6,89,86
Los Angeles,2020-05-04,1828,543,22298,581,95,1166,2371
Santa Cruz,2020-05-04,3,0,354,0,0,15,3
Kern,2020-05-04,36,12,1728,21,2,74,48
Contra Costa,2020-05-04,19,32,1485,7,6,142,51
San Benito,2020-05-04,0,0,25,0,0,2,0
Del Norte,2020-05-04,0,0,0,0,0,5,0
Mono,2020-05-04,0,0,17,0,0,1,0
Alameda,2020-05-04,73,62,1769,31,15,163,135
Mendocino,2020-05-04,0,0,180,0,0,5,0
El Dorado,2020-05-04,0,3,185,0,0,9,3
Santa Barbara,2020-05-04,29,10,717,15,3,97,39
Nevada,2020-05-04,0,1,122,0,0,3,1
Siskiyou,2020-05-04,0,0,65,0,0,6,0
San Joaquin,2020-05-04,19,14,1287,8,6,23,33
Tuolumne,2020-05-04,0,0,151,0,0,1,0
Orange,2020-05-04,214,80,5607,71,17,349,294
Tuolumne,2020-05-05,0,0,151,0,0,1,0
Yolo,2020-05-05,0,0,186,0,0,12,0
Monterey,2020-05-05,4,1,829,3,0,107,5
Marin,2020-05-05,1,13,390,0,3,20,14
Tulare,2020-05-05,23,1,920,5,0,18,24
Lake,2020-05-05,0,2,110,0,1,-2,2
San Luis Obispo,2020-05-05,3,2,526,2,1,27,5
Napa,2020-05-05,0,2,387,0,2,4,2
Siskiyou,2020-05-05,0,0,65,0,0,6,0
Stanislaus,2020-05-05,29,11,1369,3,1,87,40
Riverside,2020-05-05,208,125,3898,84,30,185,333
Santa Clara,2020-05-05,79,34,3273,36,3,220,113
Madera,2020-05-05,0,0,568,0,0,19,0
Inyo,2020-05-05,0,0,42,0,0,4,0
Yuba,2020-05-05,0,1,445,0,1,10,1
Trinity,2020-05-05,0,0,54,0,0,0,0
Santa Barbara,2020-05-05,31,4,717,13,2,99,35
Solano,2020-05-05,13,16,707,5,1,50,29
Amador,2020-05-05,0,0,51,0,0,0,0
El Dorado,2020-05-05,0,4,185,0,0,9,4
Sacramento,2020-05-05,25,25,2323,13,6,119,50
Calaveras,2020-05-05,0,0,50,0,0,12,0
Plumas,2020-05-05,0,2,45,0,0,0,2
San Francisco,2020-05-05,79,24,2619,27,6,101,103
Mendocino,2020-05-05,0,0,158,0,0,5,0
San Joaquin,2020-05-05,18,29,1366,9,8,25,47
Butte,2020-05-05,0,0,448,0,0,14,0
Contra Costa,2020-05-05,21,48,1628,8,10,119,69
Lassen,2020-05-05,0,0,25,0,0,0,0
Tehama,2020-05-05,0,0,106,0,0,6,0
Modoc,2020-05-05,0,0,41,0,0,0,0
San Mateo,2020-05-05,44,14,1096,13,5,35,58
Placer,2020-05-05,11,13,753,2,0,80,24
Imperial,2020-05-05,57,1,255,16,0,1,58
Santa Cruz,2020-05-05,2,1,397,0,1,12,3
San Diego,2020-05-05,294,69,6128,122,11,345,363
Alameda,2020-05-05,76,71,2446,28,14,143,147
San Benito,2020-05-05,0,0,25,0,0,2,0
Humboldt,2020-05-05,0,13,344,0,2,10,13
Mariposa,2020-05-05,0,1,30,0,0,0,1
Del Norte,2020-05-05,0,0,51,0,0,5,0
Sutter,2020-05-05,0,0,14,0,0,0,0
Los Angeles,2020-05-05,1826,544,22079,571,110,1164,2370
Nevada,2020-05-05,0,0,129,0,0,3,0
Orange,2020-05-05,210,69,5585,70,15,372,279
Kern,2020-05-05,32,10,1737,20,0,80,42
Glenn,2020-05-05,0,0,0,0,0,0,0
Merced,2020-05-05,5,5,242,4,0,4,10
Shasta,2020-05-05,0,0,667,0,0,9,0
Fresno,2020-05-05,49,50,2049,17,10,88,99
Kings,2020-05-05,12,0,199,2,0,0,12
Sonoma,2020-05-05,3,13,871,0,3,60,16
Ventura,2020-05-05,24,24,1360,9,9,56,48
Colusa,2020-05-05,0,0,88,0,0,6,0
San Bernardino,2020-05-05,155,105,4564,58,20,139,260
Mono,2020-05-05,0,0,17,0,0,2,0
Yolo,2020-05-06,0,1,186,0,0,11,1
San Benito,2020-05-06,0,0,25,0,0,1,0
Shasta,2020-05-06,0,0,667,0,0,12,0
Monterey,2020-05-06,4,2,829,3,0,106,6
Siskiyou,2020-05-06,0,0,65,0,0,5,0
Napa,2020-05-06,1,1,387,1,0,6,2
San Luis Obispo,2020-05-06,2,2,526,2,2,31,4
Trinity,2020-05-06,0,0,54,0,0,0,0
Modoc,2020-05-06,0,0,41,0,0,0,0
San Diego,2020-05-06,308,71,6195,120,14,339,379
Tuolumne,2020-05-06,0,0,151,0,0,1,0
Amador,2020-05-06,0,0,51,0,0,1,0
Kern,2020-05-06,34,7,1747,18,0,80,41
Orange,2020-05-06,216,63,5585,71,14,372,279
El Dorado,2020-05-06,0,4,175,0,0,8,4
Santa Clara,2020-05-06,73,38,3275,36,4,210,111
Glenn,2020-05-06,0,0,0,0,0,0,0
San Mateo,2020-05-06,43,18,1096,12,2,52,61
San Francisco,2020-05-06,76,12,2619,26,4,113,88
Mendocino,2020-05-06,0,0,180,0,0,4,0
Madera,2020-05-06,0,0,568,0,0,15,0
Lake,2020-05-06,0,3,110,0,1,4,3
Lassen,2020-05-06,0,1,25,0,0,0,1
Tehama,2020-05-06,0,0,106,0,0,4,0
Sonoma,2020-05-06,4,13,871,1,2,56,17
Colusa,2020-05-06,0,0,88,0,0,6,0
Nevada,2020-05-06,0,0,126,0,1,2,0
Contra Costa,2020-05-06,16,51,1628,7,13,122,67
Plumas,2020-05-06,0,2,45,0,0,0,2
Placer,2020-05-06,9,21,753,3,3,84,30
San Bernardino,2020-05-06,167,69,4564,51,14,157,236
Butte,2020-05-06,0,0,448,0,0,17,0
Marin,2020-05-06,3,14,390,2,1,21,17
Yuba,2020-05-06,0,0,445,0,0,7,0
Sacramento,2020-05-06,27,40,2319,12,7,115,67
Imperial,2020-05-06,62,1,252,19,0,7,63
Mono,2020-05-06,1,0,17,0,0,2,1
Los Angeles,2020-05-06,1790,502,23573,558,99,1206,2292
Stanislaus,2020-05-06,27,11,1369,2,1,88,38
Calaveras,2020-05-06,0,0,50,0,0,12,0
Inyo,2020-05-06,0,0,42,0,0,4,0
Santa Barbara,2020-05-06,30,6,717,13,1,81,36
Merced,2020-05-06,6,3,242,4,2,4,9
Del Norte,2020-05-06,0,0,51,0,0,6,0
Sutter,2020-05-06,0,0,14,0,0,0,0
Solano,2020-05-06,12,18,707,6,2,61,30
Alameda,2020-05-06,78,58,2407,34,9,171,136
Kings,2020-05-06,13,0,199,2,0,2,13
Mariposa,2020-05-06,0,1,30,0,0,0,1
Ventura,2020-05-06,28,23,1352,11,8,45,51
Tulare,2020-05-06,25,3,920,5,0,18,28
San Joaquin,2020-05-06,17,29,1366,8,9,31,46
Santa Cruz,2020-05-06,2,1,397,0,1,7,3
Humboldt,2020-05-06,1,6,344,0,2,6,7
Riverside,2020-05-06,197,99,3938,81,28,183,296
Fresno,2020-05-06,47,47,2054,17,5,92,94
Sacramento,2020-05-07,19,32,2318,12,7,91,51
Tehama,2020-05-07,0,0,106,0,0,5,0
Marin,2020-05-07,3,10,390,2,0,14,13
Amador,2020-05-07,0,0,51,0,0,1,0
Tulare,2020-05-07,11,0,920,5,0,28,11
Del Norte,2020-05-07,0,1,51,0,0,1,1
Madera,2020-05-07,1,0,568,0,0,14,1
Mariposa,2020-05-07,0,1,30,0,0,0,1
San Luis Obispo,2020-05-07,2,4,526,2,1,26,6
Inyo,2020-05-07,0,0,42,0,0,4,0
Imperial,2020-05-07,58,1,334,18,1,7,59
El Dorado,2020-05-07,0,2,172,0,0,10,2
Trinity,2020-05-07,0,0,54,0,0,0,0
Los Angeles,2020-05-07,1771,552,23461,548,90,1220,2323
Colusa,2020-05-07,1,0,88,0,0,6,1
San Joaquin,2020-05-07,13,25,1366,6,6,31,38
Orange,2020-05-07,222,77,5585,78,16,351,299
Butte,2020-05-07,1,1,448,0,0,19,2
Santa Cruz,2020-05-07,3,1,397,0,0,9,4
Alameda,2020-05-07,75,61,2446,34,9,131,136
Napa,2020-05-07,1,1,387,1,0,3,2
Contra Costa,2020-05-07,20,45,1628,7,12,97,65
Placer,2020-05-07,8,23,753,2,3,38,31
Merced,2020-05-07,5,3,242,4,0,4,8
Glenn,2020-05-07,0,0,0,0,0,0,0
Ventura,2020-05-07,33,25,1353,13,7,56,58
Lake,2020-05-07,0,0,110,0,0,3,0
Yuba,2020-05-07,0,0,445,0,0,7,0
Mono,2020-05-07,0,0,17,0,0,2,0
San Francisco,2020-05-07,72,21,2619,30,1,78,93
Solano,2020-05-07,10,15,707,7,3,39,25
Stanislaus,2020-05-07,25,14,1369,1,4,75,39
Kern,2020-05-07,33,3,1734,19,1,79,36
