date,confirmed_patients,suspected_patients,all_hospital_beds,icu_covid_confirmed,icu_covid_suspected,icu_available_beds,total_covid_patients
2020-04-03,2,4,0,2,1,5,6
2020-04-03,18,2,0,0,0,2,20
2020-04-03,6,16,0,3,5,17,22
2020-04-03,2,0,0,2,0,0,2
2020-04-04,0,2,0,0,0,0,2
2020-04-04,4,6,0,3,3,954,10
2020-04-04,1,8,0,0,1,6,9
2020-04-04,2,16,0,2,2,7,18
2020-04-04,4,5,0,3,3,4,9
2020-04-04,0,1,0,0,0,8,1
2020-04-04,126,186,0,39,56,125,312
2020-04-04,0,4,0,0,0,8,4
2020-04-04,0,1,0,0,0,5,1
2020-04-04,0,0,0,0,0,0,0
2020-04-04,60,95,0,35,18,120,155
2020-04-04,2,3,0,2,0,0,5
2020-04-04,2,6,0,2,2,5,8
2020-04-04,0,2,0,0,1,5,2
2020-04-04,16,25,0,4,2,18,41
2020-04-04,159,79,0,72,19,91,238
2020-04-04,5,16,0,3,5,12,21
2020-04-04,0,0,0,0,0,2,0
2020-04-04,30,47,0,12,7,87,77
2020-04-04,21,127,0,7,25,10,148
2020-04-04,7,16,0,2,6,15,23
2020-04-04,20,2,0,0,0,2,22
2020-04-04,16,19,0,7,2,23,35
2020-04-04,0,3,0,0,1,7,3
2020-04-04,0,1,0,0,1,2,1
2020-04-04,0,0,0,0,0,0,0
2020-04-04,43,30,0,16,7,24,73
2020-04-04,4,6,0,3,0,7,10
2020-04-04,0,0,0,0,0,0,0
2020-04-04,3,14,0,1,4,7,17
2020-04-04,0,2,0,0,0,1,2
2020-04-04,69,76,0,25,18,82,145
2020-04-04,66,19,0,25,6,40,85
2020-04-04,28,34,0,18,2,53,62
2020-04-04,0,0,0,0,0,0,0
2020-04-04,1,9,0,1,0,0,10
2020-04-04,0,0,0,0,0,0,0
2020-04-04,30,45,0,12,9,26,75
2020-04-04,1,0,0,1,0,5,1
2020-04-04,9,10,0,5,2,5,19
2020-04-04,8,106,0,1,1,2,114
2020-04-04,5,14,0,1,1,6,19
2020-04-04,177,218,0,86,19,222,395
2020-04-04,15,9,0,0,3,12,24
2020-04-04,8,20,0,5,1,6,28
2020-04-04,138,254,0,51,66,67,392
2020-04-04,143,213,0,70,45,153,356
2020-04-04,0,0,0,0,0,0,0
2020-04-04,0,4,0,0,1,4,4
2020-04-04,23,14,0,10,1,12,37
2020-04-04,1,4,0,0,0,7,5
2020-04-04,14,93,0,7,20,36,107
2020-04-04,2,10,0,4,0,13,12
2020-04-04,33,54,0,14,11,29,87
2020-04-04,80,65,0,37,7,79,145
2020-04-04,1007,1190,0,449,181,537,2197
2020-04-05,20,2,0,0,0,2,22
2020-04-05,0,0,0,0,0,4,0
2020-04-05,6,21,0,2,6,16,27
2020-04-05,69,15,0,24,6,36,84
2020-04-05,15,17,0,6,24,3,32
2020-04-05,0,0,0,0,0,0,0
2020-04-05,4,20,0,8,2,3,24
2020-04-05,0,3,0,0,2,4,3
2020-04-05,129,207,0,47,60,130,336
2020-04-05,72,87,0,39,13,113,159
2020-04-05,79,68,0,37,11,74,147
2020-04-05,0,0,0,0,0,6,0
2020-04-05,3,1,0,2,0,0,4
2020-04-05,0,2,0,0,0,0,2
2020-04-05,2,4,0,2,1,3,6
2020-04-05,2,11,0,2,9,28,13
2020-04-05,9,106,0,1,0,3,115
2020-04-05,3,6,0,3,3,4,9
2020-04-05,179,220,0,89,31,247,399
2020-04-05,29,35,0,15,10,74,64
2020-04-05,0,0,0,0,0,0,0
2020-04-05,144,221,0,70,46,156,365
2020-04-05,1094,1082,0,473,166,554,2176
2020-04-05,5,15,0,3,5,13,20
2020-04-05,0,1,0,0,0,8,1
2020-04-05,2,16,0,1,6,10,18
2020-04-05,5,12,0,4,4,10,17
2020-04-05,16,6,0,0,3,7,22
2020-04-05,0,0,0,0,0,0,0
2020-04-05,1,8,0,0,1,11,9
2020-04-05,9,9,0,8,1,3,18
2020-04-05,0,0,0,0,0,0,0
2020-04-05,0,2,0,0,2,3,2
2020-04-05,0,0,0,0,0,0,0
2020-04-05,16,15,0,4,0,23,31
2020-04-05,0,1,0,0,0,1,1
2020-04-05,146,240,0,59,54,70,386
2020-04-05,16,81,0,8,15,39,97
2020-04-05,8,11,0,4,0,13,19
2020-04-05,0,0,0,0,0,0,0
2020-04-05,15,10,0,1,3,8,25
2020-04-05,0,4,0,0,2,3,4
2020-04-05,46,24,0,17,4,19,70
2020-04-05,30,25,0,14,5,30,55
2020-04-05,23,13,0,10,1,10,36
2020-04-05,0,0,0,0,0,2,0
2020-04-05,21,128,0,7,28,12,149
2020-04-05,23,27,0,12,4,40,50
2020-04-05,0,1,0,0,0,5,1
2020-04-05,64,78,0,23,26,82,142
2020-04-05,166,69,0,68,18,90,235
2020-04-05,2,3,0,0,0,8,5
2020-04-05,3,0,0,2,0,0,3
2020-04-05,31,26,0,18,2,59,57
2020-04-05,1,0,0,1,0,5,1
2020-04-05,1,14,0,1,1,10,15
2020-04-06,9,114,0,1,0,3,123
2020-04-06,31,32,0,14,3,20,63
2020-04-06,79,70,0,43,19,92,149
2020-04-06,1,19,0,1,3,7,20
2020-04-06,4,0,0,3,4,-3,4
2020-04-06,0,0,0,0,0,6,0
2020-04-06,0,0,0,0,0,0,0
2020-04-06,68,20,0,25,5,36,88
2020-04-06,18,81,0,11,20,45,99
2020-04-06,0,0,0,0,0,0,0
2020-04-06,3,3,0,2,0,0,6
2020-04-06,34,26,0,19,5,54,60
2020-04-06,15,21,0,6,6,28,36
2020-04-06,129,193,0,46,65,152,322
2020-04-06,2,3,0,2,2,42,5
2020-04-06,12,24,0,8,3,16,36
2020-04-06,0,3,0,0,0,0,3
2020-04-06,0,0,0,0,0,0,0
2020-04-06,4,2,0,0,2,4,6
2020-04-06,28,28,0,12,4,37,56
2020-04-06,1166,1070,0,486,175,587,2236
2020-04-06,22,106,0,9,20,32,128
2020-04-06,0,0,0,0,0,6,0
2020-04-06,3,3,0,2,0,3,6
2020-04-06,0,0,0,0,0,0,0
2020-04-06,5,9,0,4,2,5,14
2020-04-06,6,3,0,2,2,28,9
2020-04-06,6,18,0,2,4,20,24
2020-04-06,9,14,0,7,2,3,23
2020-04-06,16,15,0,5,1,18,31
2020-04-06,0,0,0,0,0,2,0
2020-04-06,0,8,0,0,2,1,8
2020-04-06,0,7,0,0,0,15,7
2020-04-06,77,78,0,26,19,75,155
2020-04-06,1,15,0,1,5,9,16
2020-04-06,80,71,0,34,9,71,151
2020-04-06,0,0,0,0,0,5,0
2020-04-06,0,2,0,0,2,10,2
2020-04-06,0,0,0,0,0,0,0
2020-04-06,20,2,0,0,0,2,22
2020-04-06,30,28,0,15,11,78,58
2020-04-06,148,185,0,60,43,102,333
2020-04-06,3,12,0,0,3,2,15
2020-04-06,181,49,0,79,10,100,230
2020-04-06,20,12,0,10,1,24,32
2020-04-06,0,2,0,0,1,8,2
2020-04-06,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,4,0
2020-04-06,16,1,0,0,0,10,17
2020-04-06,24,36,0,12,5,39,60
2020-04-06,187,224,0,83,25,270,411
2020-04-06,0,3,0,0,0,0,3
2020-04-06,8,8,0,4,4,13,16
2020-04-06,0,0,0,0,0,0,0
2020-04-06,145,171,0,73,33,134,316
2020-04-06,1,5,0,1,2,4,6
2020-04-07,2,5,0,2,4,30,7
2020-04-07,74,91,0,28,18,72,165
2020-04-07,187,47,0,77,7,105,234
2020-04-07,20,2,0,0,0,2,22
2020-04-07,9,14,0,7,2,3,23
2020-04-07,22,68,0,9,20,31,90
2020-04-07,0,1,0,0,0,8,1
2020-04-07,0,3,0,0,1,7,3
2020-04-07,9,121,0,1,0,3,130
2020-04-07,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,6,0
2020-04-07,0,1,0,0,0,0,1
2020-04-07,0,0,0,0,0,0,0
2020-04-07,3,3,0,0,3,3,6
2020-04-07,0,5,0,0,3,7,5
2020-04-07,28,91,0,14,13,50,119
2020-04-07,8,23,0,5,6,10,31
2020-04-07,129,207,0,57,57,129,336
2020-04-07,0,0,0,0,0,0,0
2020-04-07,63,13,0,26,2,35,76
2020-04-07,6,28,0,2,6,21,34
2020-04-07,6,5,0,4,4,12,11
2020-04-07,1,4,0,1,2,3,5
2020-04-07,41,8,0,23,1,48,49
2020-04-07,16,2,0,0,3,10,18
2020-04-07,203,124,0,87,29,189,327
2020-04-07,143,144,0,71,29,136,287
2020-04-07,0,3,0,0,0,0,3
2020-04-07,0,0,0,0,0,0,0
2020-04-07,0,1,0,0,0,2,1
2020-04-07,19,18,0,9,3,20,37
2020-04-07,76,84,0,43,25,90,160
2020-04-07,5,8,0,2,3,6,13
2020-04-07,18,25,0,5,4,21,43
2020-04-07,0,1,0,0,0,0,1
2020-04-07,0,2,0,0,0,9,2
2020-04-07,0,0,0,0,0,1,0
2020-04-07,20,82,0,11,13,50,102
2020-04-07,146,178,0,54,49,126,324
2020-04-07,0,3,0,0,1,2,3
2020-04-07,2,3,0,2,1,4,5
2020-04-07,3,3,0,2,0,0,6
2020-04-07,0,1,0,0,1,5,1
2020-04-07,4,4,0,4,3,4,8
2020-04-07,1,14,0,1,5,6,15
2020-04-07,2,7,0,0,0,7,9
2020-04-07,88,116,0,36,9,57,204
2020-04-07,3,4,0,2,0,3,7
2020-04-07,31,38,0,17,9,82,69
2020-04-07,0,1,0,0,0,0,1
2020-04-07,31,33,0,14,4,20,64
2020-04-07,14,24,0,7,6,31,38
2020-04-07,0,0,0,0,0,3,0
2020-04-07,1251,1350,0,517,162,603,2601
2020-04-07,2,25,0,1,5,6,27
2020-04-07,28,40,0,13,9,32,68
2020-04-08,2,0,0,1,0,1,2
2020-04-08,225,103,0,92,24,183,328
2020-04-08,4,9,0,3,4,8,13
2020-04-08,0,2,0,0,0,8,2
2020-04-08,1,1,0,0,2,5,2
2020-04-08,1331,1077,0,532,211,582,2408
2020-04-08,156,34,0,70,6,104,190
2020-04-08,16,7,0,8,3,3,23
2020-04-08,2,7,0,1,2,6,9
2020-04-08,0,0,0,0,0,0,0
2020-04-08,6,22,0,2,5,18,28
2020-04-08,5,3,0,4,2,17,8
2020-04-08,32,19,0,11,8,18,51
2020-04-08,0,0,0,0,0,6,0
2020-04-08,0,0,0,0,0,0,0
2020-04-08,76,81,0,28,12,73,157
2020-04-08,0,0,0,0,0,0,0
2020-04-08,2,7,0,2,2,6,9
2020-04-08,0,6,0,0,1,7,6
2020-04-08,18,24,0,5,0,24,42
2020-04-08,30,35,0,11,5,58,65
2020-04-08,35,50,0,18,13,78,85
2020-04-08,0,2,0,0,0,4,2
2020-04-08,42,18,0,19,1,51,60
2020-04-08,66,20,0,25,2,32,86
2020-04-08,2,13,0,2,11,22,15
2020-04-08,0,0,0,0,0,1,0
2020-04-08,2,8,0,1,1,1,10
2020-04-08,22,63,0,10,8,64,85
2020-04-08,18,73,0,9,14,31,91
2020-04-08,84,69,0,45,18,111,153
2020-04-08,18,15,0,10,2,19,33
2020-04-08,4,5,0,2,2,10,9
2020-04-08,9,128,0,1,1,2,137
2020-04-08,0,0,0,0,0,0,0
2020-04-08,2,24,0,1,3,5,26
2020-04-08,0,0,0,0,0,1,0
2020-04-08,0,7,0,0,1,5,7
2020-04-08,153,181,0,49,34,201,334
2020-04-08,0,1,0,0,0,0,1
2020-04-08,132,301,0,51,53,144,433
2020-04-08,1,15,0,1,7,4,16
2020-04-08,16,3,0,0,1,10,19
2020-04-08,149,145,0,56,41,154,294
2020-04-08,0,0,0,0,1,1,0
2020-04-08,2,3,0,0,0,6,5
2020-04-08,31,57,0,16,3,32,88
2020-04-08,19,8,0,0,0,2,27
2020-04-08,0,2,0,0,1,4,2
2020-04-08,0,1,0,0,0,0,1
2020-04-08,0,0,0,0,0,7,0
2020-04-08,15,19,0,8,2,27,34
2020-04-08,7,16,0,2,5,22,23
2020-04-08,90,116,0,36,17,55,206
2020-04-08,0,3,0,0,1,5,3
2020-04-08,0,0,0,0,0,0,0
2020-04-09,17,26,0,5,0,22,43
2020-04-09,2,4,0,2,1,4,6
2020-04-09,2,6,0,0,2,6,8
2020-04-09,14,9,0,8,0,33,23
2020-04-09,1368,758,0,541,156,569,2126
2020-04-09,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,1,5,0
2020-04-09,27,35,0,16,9,25,62
2020-04-09,2,4,0,1,2,11,6
2020-04-09,37,64,0,18,12,73,101
2020-04-09,0,0,0,0,0,5,0
2020-04-09,5,21,0,2,4,24,26
2020-04-09,0,0,0,0,0,0,0
2020-04-09,2,10,0,2,8,21,12
2020-04-09,0,7,0,0,0,10,7
2020-04-09,0,1,0,0,0,0,1
2020-04-09,1,14,0,1,4,5,15
2020-04-09,18,15,0,0,0,2,33
2020-04-09,5,7,0,2,1,5,12
2020-04-09,0,0,0,0,0,8,0
2020-04-09,25,41,0,10,9,59,66
2020-04-09,58,14,0,18,2,39,72
2020-04-09,146,117,0,45,29,206,263
2020-04-09,227,124,0,98,18,163,351
2020-04-09,4,14,0,2,5,7,18
2020-04-09,201,159,0,59,34,133,360
2020-04-09,29,18,0,12,7,16,47
2020-04-09,0,3,0,0,2,5,3
2020-04-09,2,1,0,1,0,1,3
2020-04-09,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0
2020-04-09,28,30,0,11,7,45,58
2020-04-09,14,10,0,7,3,1,24
2020-04-09,1,7,0,0,2,5,8
2020-04-09,18,69,0,8,13,29,87
2020-04-09,158,65,0,70,17,87,223
2020-04-09,136,269,0,56,41,143,405
2020-04-09,3,18,0,2,4,6,21
2020-04-09,0,2,0,0,0,5,2
2020-04-09,5,7,0,2,1,21,12
2020-04-09,0,0,0,0,1,2,0
2020-04-09,10,11,0,5,4,19,21
2020-04-09,6,6,0,3,0,2,12
2020-04-09,74,60,0,31,11,63,134
2020-04-09,0,2,0,0,0,0,2
